f_hz,distance_m,input_w,tx_radius_m,rx_radius_m,tx_wire_mm2,rx_wire_mm2,tx_copper_kg,rx_copper_kg,mutual_h,coupling_figure_x,load_ohm,tx_current_rms_a,rx_current_rms_a,rx_induced_emf_at_loaded_tx_current_rms_v,rx_open_circuit_at_fixed_input_rms_v,load_w,coil_efficiency,tx_heat_w,rx_heat_w,energy_balance_error_w,rx_field_rms_t,tx_radiation_resistance_ohm,tx_radiated_w,tx_q,required_r_each_for_50pct_ohm,ka_tx,kr
1,1000,100,10,1,10,10,5.629734035232908,0.5629734035232908,9.869604401089359e-14,3.2773661799974974e-22,0.010832211469577609,30.38375427321139,8.697089179132968e-10,1.884174183162869e-11,1.884174183162869e-11,8.193415449993743e-21,8.193415449993744e-23,100.0,8.193415449993743e-21,-8.193415449993743e-21,9.54533792131984e-13,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.1924748499986315e-13,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,1,10,10,5.629734035232908,0.5629734035232908,3.655409037440504e-15,4.495701207129627e-25,0.010832211469577609,30.38375427321139,3.221144140419618e-11,6.978422900603218e-13,6.978422900603218e-13,1.1239253017824065e-23,1.1239253017824067e-25,100.0,1.1239253017824065e-23,-1.1239253017824065e-23,3.53531034122957e-14,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,8.120277222217155e-15,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,1,10,10,5.629734035232908,0.5629734035232908,9.86960440108936e-17,3.277366179997498e-28,0.010832211469577609,30.38375427321139,8.697089179132969e-13,1.884174183162869e-14,1.884174183162869e-14,8.193415449993746e-27,8.193415449993745e-29,100.0,8.193415449993746e-27,-8.193415449993746e-27,9.54533792131984e-16,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.1924748499986318e-16,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,1,10,10,5.629734035232908,0.5629734035232908,3.6554090374405034e-18,4.495701207129626e-31,0.010832211469577609,30.38375427321139,3.221144140419618e-14,6.978422900603217e-16,6.978422900603217e-16,1.1239253017824064e-29,1.1239253017824065e-31,100.0,1.1239253017824064e-29,-1.1239253017824064e-29,3.5353103412295697e-17,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,8.120277222217153e-18,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,1,10,10,5.629734035232908,0.5629734035232908,9.869604401089359e-20,3.2773661799974976e-34,0.010832211469577609,30.38375427321139,8.697089179132967e-16,1.8841741831628688e-17,1.8841741831628688e-17,8.193415449993743e-33,8.193415449993744e-35,100.0,8.193415449993743e-33,-8.193415449993743e-33,9.54533792131984e-19,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.1924748499986316e-19,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,1,50,50,28.14867017616454,2.814867017616454,9.869604401089359e-14,8.193415449993743e-21,0.002166442293915522,67.94013996655039,9.72364130545958e-09,4.213141555002315e-11,4.213141555002315e-11,2.0483538624984356e-19,2.048353862498436e-21,100.0,2.0483538624984356e-19,-2.0483538624984356e-19,2.13440244602777e-12,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.1924748499986315e-13,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,1,50,50,28.14867017616454,2.814867017616454,3.655409037440504e-15,1.1239253017824065e-23,0.002166442293915522,67.94013996655039,3.6013486316516966e-10,1.5604227981490054e-12,1.5604227981490054e-12,2.8098132544560164e-22,2.8098132544560163e-24,100.0,2.8098132544560164e-22,-2.8098132544560164e-22,7.905194244547298e-14,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,8.120277222217155e-15,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,1,50,50,28.14867017616454,2.814867017616454,9.86960440108936e-17,8.193415449993745e-27,0.002166442293915522,67.94013996655039,9.723641305459581e-12,4.213141555002315e-14,4.213141555002315e-14,2.048353862498436e-25,2.048353862498436e-27,100.0,2.048353862498436e-25,-2.048353862498436e-25,2.1344024460277703e-15,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.1924748499986318e-16,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,1,50,50,28.14867017616454,2.814867017616454,3.6554090374405034e-18,1.1239253017824063e-29,0.002166442293915522,67.94013996655039,3.601348631651696e-13,1.5604227981490052e-15,1.5604227981490052e-15,2.8098132544560154e-28,2.8098132544560157e-30,100.0,2.8098132544560154e-28,-2.8098132544560154e-28,7.905194244547295e-17,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,8.120277222217153e-18,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,1,50,50,28.14867017616454,2.814867017616454,9.869604401089359e-20,8.193415449993743e-33,0.002166442293915522,67.94013996655039,9.723641305459581e-15,4.2131415550023144e-17,4.2131415550023144e-17,2.048353862498436e-31,2.0483538624984357e-33,100.0,2.048353862498436e-31,-2.048353862498436e-31,2.1344024460277704e-18,3.8086091177776185e-25,1.7580016455892415e-21,0.028814218962870054,2.1924748499986316e-19,2.0958450219516817e-07,0.0020958450219516816
