wavelength_m,distance_m,tx_diameter_m,rx_diameter_m,first_null_diameter_m,capture_fraction,tx_conversion_assumed,rx_conversion_assumed,ideal_end_to_end_efficiency,input_w_for_100w_load,quarter_rx_radius_angle_rad
1.064e-06,10000,0.1,1.5,0.259616,0.9718650737097121,0.4,0.5,0.19437301474194243,514.474707987444,1.875e-05
1.064e-06,10000,0.1,10,0.259616,0.9957023327757796,0.4,0.5,0.19914046655515594,502.15810844403643,0.000125
1.064e-06,10000,0.3,1.5,0.08653866666666668,0.9904608325768278,0.4,0.5,0.19809216651536557,504.8155197608141,1.875e-05
1.064e-06,10000,0.3,10,0.08653866666666668,0.998564195571651,0.4,0.5,0.19971283911433022,500.7189344634608,0.000125
1.064e-06,10000,1,1.5,0.025961600000000005,0.9971186988089865,0.4,0.5,0.1994237397617973,501.44481353847596,1.875e-05
1.064e-06,10000,1,10,0.025961600000000005,0.9995689070571425,0.4,0.5,0.19991378141142851,500.2156394320661,0.000125
1.064e-06,10000,10,1.5,0.0025961600000000006,0.9997125672993146,0.4,0.5,0.19994251345986291,500.14375767099835,1.875e-05
1.064e-06,10000,10,10,0.0025961600000000006,0.9999568777214903,0.4,0.5,0.19999137554429808,500.02156206906034,0.000125
1.064e-06,10000,100,1.5,0.00025961600000000006,0.999971252253595,0.4,0.5,0.199994250450719,500.01437428643084,1.875e-05
1.064e-06,10000,100,10,0.00025961600000000006,0.9999956877559212,0.4,0.5,0.19999913755118426,500.00215613133713,0.000125
1.064e-06,100000,0.1,1.5,2.59616,0.682762362928548,0.4,0.5,0.1365524725857096,732.31921843988,1.875e-06
1.064e-06,100000,0.1,10,2.59616,0.9563724524224291,0.4,0.5,0.19127449048448583,522.8088687974362,1.25e-05
1.064e-06,100000,0.3,1.5,0.8653866666666667,0.9094647962979061,0.4,0.5,0.18189295925958124,549.7738912328597,1.875e-06
1.064e-06,100000,0.3,10,0.8653866666666667,0.9857581157458675,0.4,0.5,0.1971516231491735,507.22382297778825,1.25e-05
1.064e-06,100000,1,1.5,0.259616,0.9718650737097121,0.4,0.5,0.19437301474194243,514.474707987444,1.875e-06
1.064e-06,100000,1,10,0.259616,0.9957023327757796,0.4,0.5,0.19914046655515594,502.15810844403643,1.25e-05
1.064e-06,100000,10,1.5,0.0259616,0.9971186988089865,0.4,0.5,0.1994237397617973,501.44481353847596,1.875e-06
1.064e-06,100000,10,10,0.0259616,0.9995689070571425,0.4,0.5,0.19991378141142851,500.2156394320661,1.25e-05
1.064e-06,100000,100,1.5,0.00259616,0.9997125672993146,0.4,0.5,0.19994251345986291,500.14375767099835,1.875e-06
1.064e-06,100000,100,10,0.00259616,0.9999568777214903,0.4,0.5,0.19999137554429808,500.02156206906034,1.25e-05
1.064e-06,1000000,0.1,1.5,25.9616,0.012184782441175528,0.4,0.5,0.0024369564882351057,41034.79092990375,1.875e-07
1.064e-06,1000000,0.1,10,25.9616,0.416889313516893,0.4,0.5,0.0833778627033786,1199.3591195273927,1.25e-06
1.064e-06,1000000,0.3,1.5,8.653866666666667,0.10443296589306987,0.4,0.5,0.020886593178613976,4787.760222303326,1.875e-07
1.064e-06,1000000,0.3,10,8.653866666666667,0.8423043177970513,0.4,0.5,0.16846086355941026,593.6096840957573,1.25e-06
1.064e-06,1000000,1,1.5,2.5961600000000002,0.682762362928548,0.4,0.5,0.1365524725857096,732.31921843988,1.875e-07
1.064e-06,1000000,1,10,2.5961600000000002,0.9563724524224291,0.4,0.5,0.19127449048448583,522.8088687974362,1.25e-06
1.064e-06,1000000,10,1.5,0.259616,0.9718650737097121,0.4,0.5,0.19437301474194243,514.474707987444,1.875e-07
1.064e-06,1000000,10,10,0.259616,0.9957023327757796,0.4,0.5,0.19914046655515594,502.15810844403643,1.25e-06
1.064e-06,1000000,100,1.5,0.0259616,0.9971186988089865,0.4,0.5,0.1994237397617973,501.44481353847596,1.875e-07
1.064e-06,1000000,100,10,0.0259616,0.9995689070571425,0.4,0.5,0.19991378141142851,500.2156394320661,1.25e-06
1.064e-06,64500000,0.1,1.5,1674.5232,2.946856281450476e-06,0.4,0.5,5.893712562900953e-07,169672339.68868488,2.9069767441860465e-09
1.064e-06,64500000,0.1,10,1674.5232,0.0001309630067933887,0.4,0.5,2.6192601358677745e-05,3817872.0254095527,1.937984496124031e-08
1.064e-06,64500000,0.3,1.5,558.1744000000001,2.652139391080238e-05,0.4,0.5,5.304278782160476e-06,18852704.41220459,2.9069767441860465e-09
1.064e-06,64500000,0.3,10,558.1744000000001,0.0011780497577500517,0.4,0.5,0.00023560995155001035,424430.2897315188,1.937984496124031e-08
1.064e-06,64500000,1,1.5,167.45232000000001,0.0002946426459487833,0.4,0.5,5.892852918975666e-05,1696970.9133243165,2.9069767441860465e-09
1.064e-06,64500000,1,10,167.45232000000001,0.013011701865422678,0.4,0.5,0.0026023403730845358,38426.94869367557,1.937984496124031e-08
1.064e-06,64500000,10,1.5,16.745232,0.02903794282821425,0.4,0.5,0.005807588565642851,17218.850624438277,2.9069767441860465e-09
1.064e-06,64500000,10,10,16.745232,0.7026113907432865,0.4,0.5,0.1405222781486573,711.6309336674066,1.937984496124031e-08
1.064e-06,64500000,100,1.5,1.6745232,0.8357454840253477,0.4,0.5,0.16714909680506954,598.2682641511411,2.9069767441860465e-09
1.064e-06,64500000,100,10,1.6745232,0.9720510253957981,0.4,0.5,0.19441020507915963,514.3762898623669,1.937984496124031e-08
1.064e-06,384400000,0.1,1.5,9979.639040000002,8.296831115918172e-08,0.4,0.5,1.6593662231836343e-08,6026397223.401447,4.877731529656608e-10
