profile,h_km,sigma_iono,n,f_hz,Q,Re_Zg,Re_Zi
pessimistic_warm,80.0,3e-07,1,38.83792468742084,0.4646957591199354,3.707741018637186,22.688192744138682
apollo_classic,200.0,1e-05,3,95.13309815282291,1.0080350347034512,68.38534900905897,6.130001104309631
nominal,200.0,3e-06,2,67.26925881914649,1.1712651835648866,35.932751085788176,9.414518326164727
nominal,80.0,1e-07,3,95.13309815282291,0.27068008571492347,48.16208484078906,62.83844678543254
optimistic_cold,120.0,1e-07,3,95.13309815282291,0.23210564325806807,131.33369607958164,62.83844678543254
apollo_classic,200.0,1e-05,2,67.26925881914649,0.9668579218795975,49.78001839091829,5.154296806813111
apollo_classic,120.0,3e-06,2,67.26925881914649,0.5383639853705883,49.78001839091829,9.414518326164727
nominal,200.0,3e-06,1,38.83792468742084,1.0285267682988006,22.663074572615553,7.151605160661953
nominal,80.0,3e-07,1,38.83792468742084,0.2704682625934287,22.663074572615553,22.688192744138682
nominal,50.0,3e-05,1,38.83792468742084,0.3075885267183488,22.663074572615553,2.26080386418569
optimistic_cold,120.0,3e-07,1,38.83792468742084,0.2926707577276656,40.178073292182056,22.688192744138682
apollo_classic,200.0,1e-05,1,38.83792468742084,0.8875567071900076,30.63401703249489,3.9161091121401452
nominal,200.0,1e-06,3,95.13309815282291,1.111273394114822,48.16208484078906,19.43071809615248
nominal,80.0,3e-07,2,67.26925881914649,0.322539541499584,35.932751085788176,29.936602587892647
apollo_classic,200.0,3e-06,3,95.13309815282291,0.9438334431165476,68.38534900905897,11.198696338435685
nominal,200.0,1e-06,2,67.26925881914649,1.0163463365104122,35.932751085788176,16.326676556093474
nominal,80.0,3e-07,3,95.13309815282291,0.3583165170793097,48.16208484078906,35.690129564212654
apollo_classic,200.0,3e-06,2,67.26925881914649,0.8972733089509803,49.78001839091829,9.414518326164727
apollo_classic,120.0,3e-06,1,38.83792468742084,0.48693435884962527,30.63401703249489,7.151605160661953
nominal,200.0,1e-06,1,38.83792468742084,0.8746760870003621,22.663074572615553,12.395842264925669
nominal,80.0,0.0003,3,95.13309815282291,0.609680128215399,48.16208484078906,1.1188938634613523
nominal,50.0,0.0003,1,38.83792468742084,0.32792820126399763,22.663074572615553,0.7149057869058422
optimistic_cold,120.0,0.001,3,95.13309815282291,0.34156599778829627,131.33369607958164,0.6128396245231282
apollo_classic,200.0,3e-06,1,38.83792468742084,0.8115572647493755,30.63401703249489,7.151605160661953
apollo_classic,120.0,1e-06,3,95.13309815282291,0.5132141714851065,68.38534900905897,19.43071809615248
nominal,200.0,3e-07,3,95.13309815282291,0.8957912926982743,48.16208484078906,35.690129564212654
nominal,50.0,0.0003,2,67.26925881914649,0.36010618322589444,35.932751085788176,0.9408714081077424
optimistic_cold,150.0,1e-07,1,38.83792468742084,0.2883838799009625,40.178073292182056,39.57290707935288
apollo_classic,200.0,1e-06,3,95.13309815282291,0.8553569524751775,68.38534900905897,19.43071809615248
apollo_classic,120.0,1e-06,2,67.26925881914649,0.4820723033380899,49.78001839091829,16.326676556093474
nominal,200.0,3e-07,2,67.26925881914649,0.80634885374896,35.932751085788176,29.936602587892647
nominal,80.0,1e-06,1,38.83792468742084,0.34987043480014485,22.663074572615553,12.395842264925669
nominal,40.0,1e-06,3,95.13309815282291,0.22225467882296443,48.16208484078906,19.43071809615248
optimistic_cold,150.0,1e-07,2,67.26925881914649,0.3011194246816554,79.82083556783198,52.469727938929566
apollo_classic,200.0,1e-06,2,67.26925881914649,0.8034538388968165,49.78001839091829,16.326676556093474
apollo_classic,120.0,1e-06,1,38.83792468742084,0.42758953937509014,30.63401703249489,12.395842264925669
nominal,200.0,3e-07,1,38.83792468742084,0.6761706564835718,22.663074572615553,22.688192744138682
nominal,80.0,0.001,1,38.83792468742084,0.5320437255176982,22.663074572615553,0.391569038935955
nominal,40.0,3e-06,1,38.83792468742084,0.20570535365976012,22.663074572615553,7.151605160661953
optimistic_cold,150.0,1e-07,3,95.13309815282291,0.2901320540725851,131.33369607958164,62.83844678543254
apollo_classic,200.0,1e-06,1,38.83792468742084,0.712649232291817,30.63401703249489,12.395842264925669
apollo_classic,120.0,3e-07,3,95.13309815282291,0.4330362035352289,68.38534900905897,35.690129564212654
nominal,200.0,1e-07,3,95.13309815282291,0.6767002142873086,48.16208484078906,62.83844678543254
nominal,40.0,3e-06,2,67.26925881914649,0.23425303671297731,35.932751085788176,9.414518326164727
optimistic_cold,150.0,3e-07,1,38.83792468742084,0.36583844715958197,40.178073292182056,22.688192744138682
apollo_classic,200.0,3e-07,3,95.13309815282291,0.7217270058920482,68.38534900905897,35.690129564212654
apollo_classic,120.0,3e-07,2,67.26925881914649,0.3997686593821526,49.78001839091829,29.936602587892647
nominal,200.0,1e-07,2,67.26925881914649,0.6008166107774711,35.932751085788176,52.469727938929566
nominal,80.0,1e-06,2,67.26925881914649,0.40653853460416484,35.932751085788176,16.326676556093474
nominal,50.0,0.0003,3,95.13309815282291,0.3810500801346243,48.16208484078906,1.1188938634613523
nominal,40.0,3e-06,3,95.13309815282291,0.2530764657920573,48.16208484078906,11.198696338435685
