profile,kind,n,f_hz,Q,Re_Zg,Re_Zi,Q_path_upper,sigma_eff,sigma_surf,delta_top_km
apollo_classic,named,1,38.83792468742084,0.44380306609362524,30.632093161278235,3.9161091121401452,0.30438232787971226,6.257003790878113e-08,5.000000000000005e-08,351.75018627800785
apollo_classic,named,2,67.26925881914649,0.483217643183567,49.80404192646479,5.154296806813111,0.40058967172447413,6.257003790878113e-08,5.000000000000005e-08,267.27234396862553
apollo_classic,named,3,95.13309815282291,0.503531441881419,68.45728112856294,6.130001104309631,0.4763840878113491,6.257003790878113e-08,5.000000000000005e-08,224.74835593967498
nominal,named,1,38.83792468742084,0.5767495898705561,22.66838850389983,3.9161091121401452,0.21860800609495648,1.312274579144282e-07,9.999999999999994e-08,248.7249420008108
nominal,named,2,67.26925881914649,0.6457799130333608,35.96937145848762,5.154296806813111,0.28770431584493233,1.312274579144282e-07,9.999999999999994e-08,188.99008684383872
nominal,named,3,95.13309815282291,0.6906405661865032,48.25001015988915,6.130001104309631,0.34214001941978367,1.312274579144282e-07,9.999999999999994e-08,158.92108654547218
optimistic_cold,named,1,38.83792468742084,0.3476708783758353,40.184789325465424,3.9161091121401452,0.6159443015999154,1.2779815466351353e-08,9.999999999999982e-09,786.5373276158404
optimistic_cold,named,2,67.26925881914649,0.3124709162704477,79.83549754893869,5.154296806813111,0.8106282887618209,1.2779815466351353e-08,9.999999999999982e-09,597.6391296195535
optimistic_cold,named,3,95.13309815282291,0.2730088896516062,131.43710089248688,6.130001104309631,0.964004928618038,1.2779815466351353e-08,9.999999999999982e-09,502.55260171243253
pessimistic_warm,named,1,38.83792468742084,2.0070646828686214,3.7232052696223454,3.9161091121401452,0.025245410734097556,1.2072346875977952e-05,9.999999999999997e-06,24.8724942000811
pessimistic_warm,named,2,67.26925881914649,2.6255058025938824,4.960645193978402,5.154296806813111,0.0332248290134577,1.2072346875977952e-05,9.999999999999997e-06,18.899008684383883
pessimistic_warm,named,3,95.13309815282291,3.112684907572025,5.935801533590566,6.130001104309631,0.03951120305755273,1.2072346875977952e-05,9.999999999999997e-06,15.892108654547227
