h_km,sigma_iono,Q,Re_Zg,Re_Zi,f_hz
50.0,1e-06,0.21864711623444857,22.666587007009383,12.395842264925669,38.83792468742084
50.0,1e-05,0.2883943379603358,22.666587007009383,3.9161091121401452,38.83792468742084
50.0,0.0001,0.3207005836302407,22.666587007009383,1.2382620634305879,38.83792468742084
50.0,0.001,0.33247667476996695,22.666587007009383,0.391569038935955,38.83792468742084
70.0,1e-06,0.306105962728228,22.666587007009383,12.395842264925669,38.83792468742084
70.0,1e-05,0.4037520731444701,22.666587007009383,3.9161091121401452,38.83792468742084
70.0,0.0001,0.44898081708233695,22.666587007009383,1.2382620634305879,38.83792468742084
70.0,0.001,0.46546734467795375,22.666587007009383,0.391569038935955,38.83792468742084
100.0,1e-06,0.43729423246889715,22.666587007009383,12.395842264925669,38.83792468742084
100.0,1e-05,0.5767886759206716,22.666587007009383,3.9161091121401452,38.83792468742084
100.0,0.0001,0.6414011672604814,22.666587007009383,1.2382620634305879,38.83792468742084
100.0,0.001,0.6649533495399339,22.666587007009383,0.391569038935955,38.83792468742084
150.0,1e-06,0.6559413487033458,22.666587007009383,12.395842264925669,38.83792468742084
150.0,1e-05,0.8651830138810074,22.666587007009383,3.9161091121401452,38.83792468742084
150.0,0.0001,0.962101750890722,22.666587007009383,1.2382620634305879,38.83792468742084
150.0,0.001,0.9974300243099009,22.666587007009383,0.391569038935955,38.83792468742084
