model,profile,n,f_hz,Q,Q_path_upper,Re_Zg,Re_Zi,skin_depth_km,round_trip_att_db,note
A_open,optimistic_cold,0,1.0,0.0,0.10941285603911777,nan,nan,4452.027519540702,21.297869042906246,no_ionosphere_no_cavity
A_open,optimistic_cold,0,3.0,0.0,0.18950862566097124,nan,nan,2570.3792868464457,36.888991275261965,no_ionosphere_no_cavity
A_open,optimistic_cold,0,10.0,0.0,0.3459938303877211,nan,nan,1407.8547167498405,67.34977548357413,no_ionosphere_no_cavity
A_open,optimistic_cold,0,30.0,0.0,0.5992788933369013,nan,nan,812.8252996954047,116.65323301590715,no_ionosphere_no_cavity
A_open,nominal,0,1.0,0.0,0.034144305866067245,nan,nan,1389.337550031585,68.2474169682069,no_ionosphere_no_cavity
A_open,nominal,0,3.0,0.0,0.059139672549200516,nan,nan,802.1344085059907,118.20799367427269,no_ionosphere_no_cavity
A_open,nominal,0,10.0,0.0,0.10797377566222058,nan,nan,439.3471096897949,215.8172820427571,no_ionosphere_no_cavity
A_open,nominal,0,30.0,0.0,0.18701606533200993,nan,nan,253.65717204708713,373.8064976494776,no_ionosphere_no_cavity
A_open,apollo_classic,0,1.0,0.0,0.049447852727047076,nan,nan,2012.0414464302323,47.12561923355014,no_ionosphere_no_cavity
A_open,apollo_classic,0,3.0,0.0,0.0856461932484288,nan,nan,1161.6526707171786,81.62396685065393,no_ionosphere_no_cavity
A_open,apollo_classic,0,10.0,0.0,0.15636784002203702,nan,nan,636.2633717379197,149.02429292385693,no_ionosphere_no_cavity
A_open,apollo_classic,0,30.0,0.0,0.27083704358797017,nan,nan,367.3468289483868,258.11764690614734,no_ionosphere_no_cavity
A_open,pessimistic_warm,0,1.0,0.0,0.0035598753669493707,nan,nan,144.85192758451868,654.5905233554278,no_ionosphere_no_cavity
A_open,pessimistic_warm,0,3.0,0.0,0.00616588500416921,nan,nan,83.63029938355803,1133.784044604703,no_ionosphere_no_cavity
A_open,pessimistic_warm,0,10.0,0.0,0.011257314345887708,nan,nan,45.80620146328513,2069.996988564797,no_ionosphere_no_cavity
A_open,pessimistic_warm,0,30.0,0.0,0.019498240403851508,nan,nan,26.446222745381895,3585.339955708801,no_ionosphere_no_cavity
B_closed,optimistic_cold,1,38.83792468742084,0.34772388252167813,0.6818618027006038,40.17806695012659,3.9161091121401452,776.2166342401748,132.72849192498367,h=100km_sigma_iono=1e-5
B_closed,optimistic_cold,2,67.26925881914649,0.31253969265584647,0.8973805989592043,79.81679499374674,5.154296806813111,589.7970984920547,174.68051900084572,h=100km_sigma_iono=1e-5
B_closed,optimistic_cold,3,95.13309815282291,0.27312220566580836,1.0671713931476892,131.3800255051319,6.130001104309631,495.9582658490108,207.73131604817374,h=100km_sigma_iono=1e-5
B_closed,nominal,1,38.83792468742084,0.5767886759206716,0.2127875899837002,22.666587007009383,3.9161091121401452,245.46125219087935,425.3184538658222,h=100km_sigma_iono=1e-5
B_closed,nominal,2,67.26925881914649,0.6457830875493229,0.28004421745633795,35.96916930432186,5.154296806813111,186.51021885935532,559.7505643619421,h=100km_sigma_iono=1e-5
B_closed,nominal,3,95.13309815282291,0.6906272490372769,0.3330305759144463,48.25105875263719,6.130001104309631,156.8357744470176,665.65935376601,h=100km_sigma_iono=1e-5
B_closed,apollo_classic,1,38.83792468742084,0.44380712961977303,0.30815941764726235,30.631776835753186,3.9161091121401452,347.13463188542386,293.6872397561979,h=100km_sigma_iono=1e-5
B_closed,apollo_classic,2,67.26925881914649,0.4832622453307214,0.4055606014121357,49.798969608204416,5.154296806813111,263.7652810320743,386.51414417888026,h=100km_sigma_iono=1e-5
B_closed,apollo_classic,3,95.13309815282291,0.5036336039850166,0.48229555276409436,68.44215109435903,6.130001104309631,221.79927928825984,459.6453703067119,h=100km_sigma_iono=1e-5
B_closed,pessimistic_warm,1,38.83792468742084,2.0080656063178517,0.02218517204440525,3.7193974413936806,3.9161091121401452,24.546125219087926,4079.41342949942,h=100km_sigma_iono=1e-5
B_closed,pessimistic_warm,2,67.26925881914649,2.6289232651481846,0.02919732840052187,4.947496299149518,5.154296806813111,18.651021885935528,5368.810002653591,h=100km_sigma_iono=1e-5
B_closed,pessimistic_warm,3,95.13309815282291,3.1195620439250775,0.034721670672971626,5.9092022325407765,6.130001104309631,15.683577444701758,6384.627054253429,h=100km_sigma_iono=1e-5
C_earth,earth_simple,1,10.591274580430856,3.688294654925373,nan,0.14693201964435937,0.6466291244014585,3.5140490850709076,nan,h=70km_sigma_iono=1e-4
C_earth,earth_simple,2,18.344625690218983,4.854059216409691,nan,0.1933736280548237,0.8510136219854205,2.670099895968205,nan,h=70km_sigma_iono=1e-4
C_earth,earth_simple,3,25.943218447765585,5.772470648754774,nan,0.22996154529687907,1.0120335932527262,2.24527743088898,nan,h=70km_sigma_iono=1e-4
