fixed_offset_m,fixed_angular_offset_urad,capture_fraction_n,capture_fraction_2n,quadrature_relative_change,receiver_dc_w_during_on,source_dc_w_during_on,transmitted_optical_w_during_on,receiver_optical_w_during_on,source_laser_heat_w_during_on,receiver_pv_heat_w_during_on,source_dc_wh_per_assumed_cycle
0.0,0.0,0.6827623629285486,0.6827623629285456,4.390403351512268e-15,550.0,4027.755701419354,1611.1022805677417,1100.0,2416.6534208516123,550.0,1208.3267104258064
0.1,0.1,0.6741350551955945,0.6741350551955916,4.281901440636258e-15,550.0,4079.301289564482,1631.720515825793,1100.0,2447.580773738689,550.0,1223.7903868693447
0.3,0.3,0.608513017511429,0.6085130175114268,3.6489704991538935e-15,550.0,4519.213099575737,1807.685239830295,1100.0,2711.527859745442,550.0,1355.7639298727213
0.5,0.5,0.4939769826702176,0.4939769826702164,2.4722717250633253e-15,550.0,5567.061009876902,2226.824403950761,1100.0,3340.2366059261412,550.0,1670.1183029630708
1.0,1.0,0.17335067269638427,0.17335067269638468,2.4016845608878712e-15,550.0,15863.79768376493,6345.519073505972,1100.0,9518.278610258958,550.0,4759.13930512948
