pair,f_hz,Re_Za,Re_Zb,Re_Z_eff,Q_eff,Q_a,Q_b
nearside_farside,38.83792468742084,15.853040645178199,14.59255040838982,15.22279552678401,0.8011220279442133,0.775582070305773,0.8284013264147401
pkt_farside,38.83792468742084,12.461950245760178,14.59255040838982,13.527250327074999,0.8789934158265397,0.9361669634913009,0.8284013264147401
global_global,38.83792468742084,15.70502617843407,15.70502617843407,15.70502617843407,0.7814327698118186,0.7814327698118186,0.7814327698118186
