profile,f_hz,sigma_eff,skin_depth_km,loss_tangent,att_half_circ_db
grimm_lf_preferred,1.0,1.3796683511959035e-07,1354.9796747730777,450.9033002412681,34.988974687931076
grimm_lf_preferred,3.0,1.3796683511959035e-07,782.2978799767078,150.30110008042269,60.60268186423805
grimm_lf_preferred,10.0,1.3796683511959035e-07,428.48219555171187,45.09033002412681,110.64485300784136
grimm_lf_preferred,30.0,1.3796683511959035e-07,247.38431094474277,15.030110008042271,191.64250700557136
grimm_hf_envelope,1.0,5.674818926860896e-06,211.27306236161826,18546.446906426558,224.39845862673076
grimm_hf_envelope,3.0,5.674818926860896e-06,121.97855942699688,6182.148968808852,388.6695314816403
grimm_hf_envelope,10.0,5.674818926860896e-06,66.81040853015062,1854.6446906426556,709.6102326915291
grimm_hf_envelope,30.0,5.674818926860896e-06,38.57300734955133,618.2148968808852,1229.0809765925019
mittelholz_like,1.0,1.6195038463681081e-06,395.48420188283063,5292.863523670976,119.87672154181823
mittelholz_like,3.0,1.6195038463681081e-06,228.33291041729657,1764.2878412236587,207.63257235521564
mittelholz_like,10.0,1.6195038463681081e-06,125.06308565635968,529.2863523670976,379.0834785059171
mittelholz_like,30.0,1.6195038463681081e-06,72.20520616938448,176.4287841223659,656.591845082193
hood_upper_resistive,1.0,3.01308051412597e-08,2899.4442539631405,98.47351695314373,16.351185051581616
hood_upper_resistive,3.0,3.01308051412597e-08,1673.9949205259325,32.82450565104791,28.32108327330009
hood_upper_resistive,10.0,3.01308051412597e-08,916.8847791211211,9.847351695314373,51.70698720589569
hood_upper_resistive,30.0,3.01308051412597e-08,529.3636740414498,3.2824505651047913,89.55912894692524
nearside_warm,1.0,5.200865407101847e-07,697.8825258162656,1558.1015729578228,67.93313744006531
nearside_warm,3.0,5.200865407101847e-07,402.92266414275684,519.367190985941,117.66364556375268
nearside_warm,10.0,5.200865407101847e-07,220.68983208106593,155.8101572957823,214.8234429118667
nearside_warm,30.0,5.200865407101847e-07,127.4153339594167,51.9367190985941,372.0851177802253
farside_cold,1.0,5.730708918751646e-08,2102.4029474861545,206.0201727568877,22.550077567187447
farside_cold,3.0,5.730708918751646e-08,1213.822907676194,68.67339091896257,39.05788006098784
farside_cold,10.0,5.730708918751646e-08,664.8381873507622,20.60201727568877,71.30960652578096
farside_cold,30.0,5.730708918751646e-08,383.8445064345054,6.867339091896258,123.5118615703978
pkt,1.0,3.2283485728086345e-06,280.11084356548264,8927.676919331307,169.25210370234464
pkt,3.0,3.2283485728086345e-06,161.72207093546456,2975.8923064437686,293.15324290037745
pkt,10.0,3.2283485728086345e-06,88.57882629780454,892.7676919331305,535.2221464744263
pkt,30.0,3.2283485728086345e-06,51.14100920753855,297.58923064437687,927.0319510297779
