profile,f_hz,sigma_eff,skin_depth_km,loss_tangent,regime,att_half_circ_db,att_full_circ_db,Q_path_upper
optimistic_cold,1.0,1.2779815466351353e-08,4452.027519540702,57.429626672444726,weak conductor (conduction-dominated),10.648934521453123,21.297869042906246,0.09330759714421273
optimistic_cold,3.0,1.2779815466351353e-08,2570.3792868464457,19.143208890814908,weak conductor (conduction-dominated),18.444495637630983,36.888991275261965,0.1616134989859451
optimistic_cold,10.0,1.2779815466351353e-08,1407.8547167498405,5.742962667244473,weak conductor (conduction-dominated),33.67488774178707,67.34977548357413,0.2950645299731348
optimistic_cold,30.0,1.2779815466351353e-08,812.8252996954047,1.9143208890814911,weak conductor (conduction-dominated),58.32661650795358,116.65323301590716,0.5110667574248993
optimistic_cold,100.0,1.2779815466351353e-08,445.20275195407015,0.5742962667244472,transition,106.48934521453124,212.97869042906248,0.9330759714421274
nominal,1.0,1.312274579144282e-07,1389.337550031585,428.8776632775417,good conductor,34.12370848410346,68.24741696820692,0.034144305866067245
nominal,3.0,1.312274579144282e-07,802.1344085059907,142.9592210925139,good conductor,59.10399683713634,118.20799367427269,0.059139672549200516
nominal,10.0,1.312274579144282e-07,439.3471096897949,42.88776632775417,weak conductor (conduction-dominated),107.90864102137856,215.8172820427571,0.10797377566222058
nominal,30.0,1.312274579144282e-07,253.65717204708713,14.295922109251391,weak conductor (conduction-dominated),186.9032488247388,373.8064976494776,0.18701606533200993
nominal,100.0,1.312274579144282e-07,138.93375500315847,4.288776632775416,weak conductor (conduction-dominated),341.23708484103463,682.4741696820693,0.34144305866067237
apollo_classic,1.0,6.257003790878113e-08,2012.0414464302323,224.94058243286514,good conductor,23.56280961677507,47.12561923355014,0.04714667769376502
apollo_classic,3.0,6.257003790878113e-08,1161.6526707171786,74.98019414428838,weak conductor (conduction-dominated),40.81198342532697,81.62396685065394,0.08166044117367528
apollo_classic,10.0,6.257003790878113e-08,636.2633717379197,22.494058243286513,weak conductor (conduction-dominated),74.51214646192847,149.02429292385693,0.14909088562215195
apollo_classic,30.0,6.257003790878113e-08,367.3468289483868,7.49801941442884,weak conductor (conduction-dominated),129.05882345307367,258.11764690614734,0.2582329888430074
apollo_classic,100.0,6.257003790878113e-08,201.20414464302323,2.2494058243286514,weak conductor (conduction-dominated),235.62809616775075,471.2561923355015,0.47146677693765016
pessimistic_warm,1.0,1.2072346875977952e-05,144.85192758451868,31000.240785864757,good conductor,327.29526167771394,654.5905233554279,0.004016081047658512
pessimistic_warm,3.0,1.2072346875977952e-05,83.63029938355803,10333.413595288252,good conductor,566.8920223023515,1133.784044604703,0.006956056421858988
pessimistic_warm,10.0,1.2072346875977952e-05,45.80620146328513,3100.0240785864758,good conductor,1034.9984942823985,2069.996988564797,0.012699963378436135
pessimistic_warm,30.0,1.2072346875977952e-05,26.446222745381895,1033.3413595288253,good conductor,1792.6699778544005,3585.339955708801,0.02199698182571547
pessimistic_warm,100.0,1.2072346875977952e-05,14.485192758451866,310.00240785864753,good conductor,3272.952616777139,6545.905233554278,0.040160810476585124
