r_m,depth_km,sigma_S_m,eps_r
1.356308494798767380e+06,3.810915052012326214e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.382851892835366074e+06,3.545481071646339046e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.407546517100538826e+06,3.298534828994611985e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.430521136505228933e+06,3.068788634947710534e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.451895551079123747e+06,2.855044489208762570e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.471781216662052320e+06,2.656187833379476615e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.490281826085013105e+06,2.471181739149868974e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.507493849871371873e+06,2.299061501286281270e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.523507039277689997e+06,2.138929607223099936e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.538404894297263119e+06,1.989951057027368790e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.552265099066754570e+06,1.851349009332454330e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.565159926946327789e+06,1.722400730536722051e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.577156617385550169e+06,1.602433826144498425e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.588317726540214382e+06,1.490822734597856254e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.598701453468356282e+06,1.386985465316437285e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.608361943606395740e+06,1.290380563936042506e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.617349571107869269e+06,1.200504288921307250e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.625711201516990084e+06,1.116887984830099185e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.633490436146737309e+06,1.039095638532626964e+02,9.999999999999999547e-08,5.500000000000000000e+00
1.640727839435771806e+06,9.667216056422819292e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.647461150469717104e+06,8.993884953028289431e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.653725479769777274e+06,8.367452023022272556e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.659553492374832509e+06,7.784650762516749012e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.664975578171688132e+06,7.242442182831186415e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.670020010361653287e+06,6.737998963834671429e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.674713092889767140e+06,6.268690711023285900e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.679079297605433967e+06,5.832070239456603389e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.683141391869685845e+06,5.425860813031415120e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.686920557274472900e+06,5.047944272552710032e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.690436500093040289e+06,4.696349990695971144e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.693707554037325783e+06,4.369244596267422054e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.696750775858204346e+06,4.064922414179565635e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.699582034287081799e+06,3.781796571291820186e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.702216092782619176e+06,3.518390721738082050e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.704666686514065834e+06,3.273331348593416834e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.706946593982628081e+06,3.045340601737191832e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.709067703654339071e+06,2.833229634566092869e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.711041075951883802e+06,2.635892404811619727e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.712877000928632449e+06,2.452299907136755053e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.714585051925619831e+06,2.281494807438016892e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.716174135491265915e+06,2.122586450873408381e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.717652537824135507e+06,1.974746217586449504e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.719027967980915913e+06,1.837203201908408801e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.720307598074916983e+06,1.709240192508301703e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.721498100674704649e+06,1.590189932529535177e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.722605683597882977e+06,1.479431640211702259e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.723636122281456832e+06,1.376387771854316888e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.724594789897565264e+06,1.280521010243473512e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.725486685371623840e+06,1.191331462837615973e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.726316459448979003e+06,1.108354055102099700e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.727088438945990289e+06,1.031156105400971157e+01,9.999999999999999547e-08,5.500000000000000000e+00
1.727806649312003981e+06,9.593350687996018422e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.728474835619861260e+06,8.925164380138740583e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.729096482094397536e+06,8.303517905602465277e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.729674830280763097e+06,7.725169719236903099e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.730212895947300829e+06,7.187104052699170964e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.730713484811123693e+06,6.686515188876306581e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.731179207168389112e+06,6.220792831610888030e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.731612491505560232e+06,5.787508494439768114e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.732015597162630642e+06,5.384402837369358430e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.732390626114341896e+06,5.009373885658104264e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.732739533930828096e+06,4.660466069171903314e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.733064139974840451e+06,4.335860025159549380e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.733366136888725916e+06,4.033863111274084368e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.733647099420628045e+06,3.752900579371955203e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.733908492635933217e+06,3.491507364066783303e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.734151679556783754e+06,3.248320443216245579e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.734377928269488970e+06,3.022071730511030285e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.734588418536900543e+06,2.811581463099457334e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.734784247950227465e+06,2.615752049772534615e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.734966437652371125e+06,2.433562347628874800e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.735135937662626849e+06,2.264062337373150324e+00,9.999999999999999547e-08,5.500000000000000000e+00
1.735293631830511382e+06,2.106368169488618047e+00,9.999999999999999547e-08,5.500000000000000000e+00
