r_m,depth_km,sigma_S_m,eps_r
7.478131703406781889e+04,1.662618682965932294e+03,5.999999999999999778e-02,6.500000000000000000e+00
7.825959879759512842e+04,1.659140401202404973e+03,5.999999999999999778e-02,6.500000000000000000e+00
8.173788056112220511e+04,1.655662119438877880e+03,5.999999999999999778e-02,6.500000000000000000e+00
8.521616232464928180e+04,1.652183837675350787e+03,5.999999999999999778e-02,6.500000000000000000e+00
8.869444408817635849e+04,1.648705555911823694e+03,5.999999999999999778e-02,6.500000000000000000e+00
9.217272585170320235e+04,1.645227274148296829e+03,5.999999999999999778e-02,6.500000000000000000e+00
9.565100761523027904e+04,1.641748992384769736e+03,5.999999999999999778e-02,6.500000000000000000e+00
9.912928937875735573e+04,1.638270710621242642e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.026075711422844324e+05,1.634792428857715549e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.060858529058115091e+05,1.631314147094188456e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.095641346693385858e+05,1.627835865330661363e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.130424164328654297e+05,1.624357583567134498e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.165206981963925064e+05,1.620879301803607405e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.199989799599195831e+05,1.617401020040080311e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.234772617234468926e+05,1.613922738276553218e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.269555434869739693e+05,1.610444456513026125e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.304338252505010460e+05,1.606966174749499032e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.339121070140278898e+05,1.603487892985972167e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.373903887775549665e+05,1.600009611222445074e+03,5.999999999999999778e-02,6.500000000000000000e+00
1.408686705410820432e+05,1.596531329458917980e+03,5.993898410973457630e-02,6.500000000000000000e+00
1.443469523046091199e+05,1.593053047695390887e+03,5.987786145964753282e-02,6.500000000000000000e+00
1.478252340681361966e+05,1.589574765931863794e+03,5.981680113925141179e-02,6.500000000000000000e+00
1.513035158316630404e+05,1.586096484168336929e+03,5.975580308498563975e-02,6.500000000000000000e+00
1.547817975951901171e+05,1.582618202404809836e+03,5.969486723335446637e-02,6.500000000000000000e+00
1.582600793587171938e+05,1.579139920641282743e+03,5.963399352092689509e-02,6.500000000000000000e+00
1.617383611222442705e+05,1.575661638877755649e+03,5.957318188433659983e-02,6.500000000000000000e+00
1.652166428857713472e+05,1.572183357114228556e+03,5.951243226028189032e-02,6.500000000000000000e+00
1.686949246492984239e+05,1.568705075350701463e+03,5.945174458552559410e-02,6.500000000000000000e+00
1.721732064128255006e+05,1.565226793587174598e+03,5.939111879689506351e-02,6.500000000000000000e+00
1.756514881763525773e+05,1.561748511823647505e+03,5.933055483128205770e-02,6.500000000000000000e+00
1.791297699398796540e+05,1.558270230060120412e+03,5.927005262564268712e-02,6.500000000000000000e+00
