r_m,depth_km,sigma_S_m,eps_r
3.845401789473684039e+05,1.352859821052631560e+03,1.635644281315394924e-02,5.500000000000000000e+00
3.888902105263157282e+05,1.348509789473684350e+03,1.612901242178814767e-02,5.500000000000000000e+00
3.932402421052630525e+05,1.344159757894736913e+03,1.590474436733798139e-02,5.500000000000000000e+00
3.975902736842106096e+05,1.339809726315789476e+03,1.568359467865823934e-02,5.500000000000000000e+00
4.019403052631577011e+05,1.335459694736842266e+03,1.546551999600649478e-02,5.500000000000000000e+00
4.062903368421052583e+05,1.331109663157894829e+03,1.525047756254175116e-02,5.500000000000000000e+00
4.106403684210525826e+05,1.326759631578947392e+03,1.503842521594135444e-02,5.500000000000000000e+00
4.149903999999999069e+05,1.322409600000000182e+03,1.482932138013443382e-02,5.500000000000000000e+00
4.193404315789472312e+05,1.318059568421052745e+03,1.462312505715024705e-02,5.500000000000000000e+00
4.236904631578947883e+05,1.313709536842105308e+03,1.441979581907995751e-02,5.500000000000000000e+00
4.280404947368421126e+05,1.309359505263157871e+03,1.421929380015007384e-02,5.500000000000000000e+00
4.323905263157894369e+05,1.305009473684210661e+03,1.402157968890622476e-02,5.500000000000000000e+00
4.367405578947367612e+05,1.300659442105263224e+03,1.382661472050549130e-02,5.500000000000000000e+00
4.410905894736843184e+05,1.296309410526315787e+03,1.363436066911603330e-02,5.500000000000000000e+00
4.454406210526314098e+05,1.291959378947368577e+03,1.344477984042228083e-02,5.500000000000000000e+00
4.497906526315789670e+05,1.287609347368421140e+03,1.325783506423442761e-02,5.500000000000000000e+00
4.541406842105262913e+05,1.283259315789473703e+03,1.307348968720064772e-02,5.500000000000000000e+00
4.584907157894736156e+05,1.278909284210526494e+03,1.289170756562066367e-02,5.500000000000000000e+00
4.628407473684209399e+05,1.274559252631579056e+03,1.271245305835916328e-02,5.500000000000000000e+00
4.671907789473682642e+05,1.270209221052631847e+03,1.253569101985791377e-02,5.500000000000000000e+00
4.715408105263158213e+05,1.265859189473684182e+03,1.236138679324487108e-02,5.500000000000000000e+00
4.758908421052629128e+05,1.261509157894737200e+03,1.218950620353921425e-02,5.500000000000000000e+00
4.802408736842104699e+05,1.257159126315789536e+03,1.202001555095077133e-02,5.500000000000000000e+00
4.845909052631577943e+05,1.252809094736842098e+03,1.185288160427274036e-02,5.500000000000000000e+00
4.889409368421051186e+05,1.248459063157894889e+03,1.168807159436616172e-02,5.500000000000000000e+00
4.932909684210524429e+05,1.244109031578947452e+03,1.152555320773501583e-02,5.500000000000000000e+00
4.976410000000000000e+05,1.239759000000000015e+03,1.136529458019072333e-02,5.500000000000000000e+00
5.019910315789470915e+05,1.235408968421052805e+03,1.120726429060466683e-02,5.500000000000000000e+00
5.063410631578946486e+05,1.231058936842105368e+03,1.105143135474757551e-02,5.500000000000000000e+00
5.106910947368419729e+05,1.226708905263157931e+03,1.089776521921465187e-02,5.500000000000000000e+00
5.150411263157895301e+05,1.222358873684210494e+03,1.074623575543505981e-02,5.500000000000000000e+00
5.193911578947366215e+05,1.218008842105263284e+03,1.059681325376480784e-02,5.500000000000000000e+00
5.237411894736841787e+05,1.213658810526315847e+03,1.044946841766168817e-02,5.500000000000000000e+00
5.280912210526315030e+05,1.209308778947368410e+03,1.030417235794127938e-02,5.500000000000000000e+00
5.324412526315788273e+05,1.204958747368421200e+03,1.016089658711275164e-02,5.500000000000000000e+00
5.367912842105261516e+05,1.200608715789473763e+03,1.001961301379348385e-02,5.500000000000000000e+00
5.411413157894737087e+05,1.196258684210526326e+03,9.786935148008017379e-03,5.500000000000000000e+00
5.454913473684208002e+05,1.191908652631579116e+03,9.544905469025725606e-03,5.500000000000000000e+00
5.498413789473683573e+05,1.187558621052631679e+03,9.308861153655463225e-03,5.500000000000000000e+00
5.541914105263156816e+05,1.183208589473684242e+03,9.078654184605646979e-03,5.500000000000000000e+00
5.585414421052632388e+05,1.178858557894736805e+03,8.854140205033743383e-03,5.500000000000000000e+00
5.628914736842103302e+05,1.174508526315789595e+03,8.635178428023849301e-03,5.500000000000000000e+00
5.672415052631578874e+05,1.170158494736842158e+03,8.421631548302778783e-03,5.500000000000000000e+00
5.715915368421052117e+05,1.165808463157894721e+03,8.213365656139620316e-03,5.500000000000000000e+00
5.759415684210525360e+05,1.161458431578947511e+03,8.010250153374257748e-03,5.500000000000000000e+00
5.802915999999998603e+05,1.157108400000000074e+03,7.812157671522705626e-03,5.500000000000000000e+00
5.846416315789474174e+05,1.152758368421052637e+03,7.618963991907632717e-03,5.500000000000000000e+00
5.889916631578945089e+05,1.148408336842105427e+03,7.430547967764020850e-03,5.500000000000000000e+00
5.933416947368420660e+05,1.144058305263157990e+03,7.246791448271145721e-03,5.500000000000000000e+00
5.976917263157893904e+05,1.139708273684210553e+03,7.067579204463256271e-03,5.500000000000000000e+00
6.020417578947369475e+05,1.135358242105263116e+03,6.892798856972518450e-03,5.500000000000000000e+00
6.063917894736840390e+05,1.131008210526315906e+03,6.722340805558730224e-03,5.500000000000000000e+00
6.107418210526315961e+05,1.126658178947368469e+03,6.556098160381894184e-03,5.500000000000000000e+00
6.150918526315789204e+05,1.122308147368421032e+03,6.393966674974366389e-03,5.500000000000000000e+00
6.194418842105262447e+05,1.117958115789473823e+03,6.235844680870575134e-03,5.500000000000000000e+00
6.237919157894735690e+05,1.113608084210526386e+03,6.081633023853333722e-03,5.500000000000000000e+00
6.281419473684211262e+05,1.109258052631578948e+03,5.931235001776833868e-03,5.500000000000000000e+00
6.324919789473682176e+05,1.104908021052631739e+03,5.784556303927206045e-03,5.500000000000000000e+00
6.368420105263157748e+05,1.100557989473684302e+03,5.641504951882695372e-03,5.500000000000000000e+00
6.411920421052630991e+05,1.096207957894736865e+03,5.501991241836385466e-03,5.500000000000000000e+00
6.455420736842104234e+05,1.091857926315789655e+03,5.365927688345272645e-03,5.500000000000000000e+00
6.498921052631577477e+05,1.087507894736842218e+03,5.233228969470367191e-03,5.500000000000000000e+00
6.542421368421053048e+05,1.083157863157894781e+03,5.103811873273547857e-03,5.500000000000000000e+00
6.585921684210526291e+05,1.078807831578947344e+03,4.977595245637482166e-03,5.500000000000000000e+00
6.629421999999999534e+05,1.074457800000000134e+03,4.854499939375988421e-03,5.500000000000000000e+00
6.672922315789472777e+05,1.070107768421052697e+03,4.734448764602866740e-03,5.500000000000000000e+00
6.716422631578948349e+05,1.065757736842105260e+03,4.617366440328116335e-03,5.500000000000000000e+00
6.759922947368419264e+05,1.061407705263158050e+03,4.503179547251213478e-03,5.500000000000000000e+00
6.803423263157894835e+05,1.057057673684210613e+03,4.391816481721684019e-03,5.500000000000000000e+00
6.846923578947368078e+05,1.052707642105263176e+03,4.283207410838382224e-03,5.500000000000000000e+00
6.890423894736840157e+05,1.048357610526315966e+03,4.177284228659048151e-03,5.500000000000000000e+00
6.933924210526314564e+05,1.044007578947368529e+03,4.073980513492819061e-03,5.500000000000000000e+00
6.977424526315788971e+05,1.039657547368421092e+03,3.973231486248931556e-03,5.500000000000000000e+00
7.020924842105263378e+05,1.035307515789473655e+03,3.874973969815411010e-03,5.500000000000000000e+00
7.064425157894735457e+05,1.030957484210526445e+03,3.779146349442345874e-03,5.500000000000000000e+00
7.107925473684209865e+05,1.026607452631579008e+03,3.685688534104841416e-03,5.500000000000000000e+00
7.151425789473683108e+05,1.022257421052631685e+03,3.594541918821540262e-03,5.500000000000000000e+00
7.194926105263157515e+05,1.017907389473684248e+03,3.505649347904902808e-03,5.500000000000000000e+00
7.238426421052630758e+05,1.013557357894736924e+03,3.418955079120400333e-03,5.500000000000000000e+00
7.281926736842105165e+05,1.009207326315789487e+03,3.334404748731949718e-03,5.500000000000000000e+00
7.325427052631578408e+05,1.004857294736842164e+03,3.251945337411861481e-03,5.500000000000000000e+00
7.368927368421051651e+05,1.000507263157894840e+03,3.171525136993758476e-03,5.500000000000000000e+00
7.412427684210526058e+05,9.961572315789474032e+02,3.093093718047746580e-03,5.500000000000000000e+00
7.455927999999999302e+05,9.918072000000000799e+02,3.016601898257396681e-03,5.500000000000000000e+00
7.499428315789473709e+05,9.874571684210526428e+02,2.942001711578808541e-03,5.500000000000000000e+00
7.542928631578946952e+05,9.831071368421053194e+02,2.869246378162330652e-03,5.500000000000000000e+00
7.586428947368420195e+05,9.787571052631579960e+02,2.798290275018122577e-03,5.500000000000000000e+00
7.629929263157894602e+05,9.744070736842105589e+02,2.729088907407162604e-03,5.500000000000000000e+00
7.673429578947367845e+05,9.700570421052632355e+02,2.661598880939749796e-03,5.500000000000000000e+00
7.716929894736842252e+05,9.657070105263157984e+02,2.595777874363997071e-03,5.500000000000000000e+00
7.760430210526315495e+05,9.613569789473684750e+02,2.531584613027272959e-03,5.500000000000000000e+00
7.803930526315788738e+05,9.570069473684211516e+02,2.468978842993923076e-03,5.500000000000000000e+00
7.847430842105263146e+05,9.526569157894737145e+02,2.407921305803075503e-03,5.500000000000000000e+00
7.890931157894736389e+05,9.483068842105263911e+02,2.348373713850680344e-03,5.500000000000000000e+00
7.934431473684210796e+05,9.439568526315789541e+02,2.290298726380321850e-03,5.500000000000000000e+00
7.977931789473684039e+05,9.396068210526316307e+02,2.233659926067825107e-03,5.500000000000000000e+00
8.021432105263157282e+05,9.352567894736843073e+02,2.178421796184862227e-03,5.500000000000000000e+00
8.064932421052631689e+05,9.309067578947368702e+02,2.124549698327344183e-03,5.500000000000000000e+00
8.108432736842104932e+05,9.265567263157895468e+02,2.072009850694579540e-03,5.500000000000000000e+00
8.151933052631579340e+05,9.222066947368421097e+02,2.020769306905562546e-03,5.500000000000000000e+00
8.195433368421052583e+05,9.178566631578947863e+02,1.970795935339165073e-03,5.500000000000000000e+00
8.238933684210525826e+05,9.135066315789474629e+02,1.922058398985220223e-03,5.500000000000000000e+00
8.282434000000000233e+05,9.091566000000000258e+02,1.874526135793886826e-03,5.500000000000000000e+00
8.325934315789473476e+05,9.048065684210527024e+02,1.828169339510992168e-03,5.500000000000000000e+00
8.369434631578947883e+05,9.004565368421052654e+02,1.782958940987283821e-03,5.500000000000000000e+00
8.412934947368421126e+05,8.961065052631579420e+02,1.738866589949931074e-03,5.500000000000000000e+00
8.456435263157894369e+05,8.917564736842106186e+02,1.695864637224795118e-03,5.500000000000000000e+00
8.499935578947367612e+05,8.874064421052632952e+02,1.653926117398341273e-03,5.500000000000000000e+00
8.543435894736840855e+05,8.830564105263158581e+02,1.613024731908336900e-03,5.500000000000000000e+00
8.586936210526315263e+05,8.787063789473684210e+02,1.573134832552689670e-03,5.500000000000000000e+00
8.630436526315788506e+05,8.743563473684210976e+02,1.534231405406134710e-03,5.500000000000000000e+00
8.673936842105261749e+05,8.700063157894737742e+02,1.496290055134636386e-03,5.500000000000000000e+00
8.717437157894736156e+05,8.656562842105263371e+02,1.459286989697715234e-03,5.500000000000000000e+00
8.760937473684209399e+05,8.613062526315790137e+02,1.423199005429069079e-03,5.500000000000000000e+00
8.804437789473683806e+05,8.569562210526315766e+02,1.388003472486150315e-03,5.500000000000000000e+00
8.847938105263157049e+05,8.526061894736842532e+02,1.353678320659584475e-03,5.500000000000000000e+00
8.891438421052630292e+05,8.482561578947369298e+02,1.320202025533502750e-03,5.500000000000000000e+00
8.934938736842104699e+05,8.439061263157894928e+02,1.287553594988145216e-03,5.500000000000000000e+00
8.978439052631577943e+05,8.395560947368421694e+02,1.255712556036241980e-03,5.500000000000000000e+00
9.021939368421052350e+05,8.352060631578947323e+02,1.224658941984926256e-03,5.500000000000000000e+00
9.065439684210525593e+05,8.308560315789474089e+02,1.194373279915148228e-03,5.500000000000000000e+00
