r_m,depth_km,sigma_S_m,eps_r
1.103782070011084899e+06,6.336179299889150798e+02,1.003939587955346246e-04,8.000000000000000000e+00
1.121764691641584039e+06,6.156353083584159549e+02,7.830903102383138378e-05,8.000000000000000000e+00
1.139236951008959673e+06,5.981630489910403412e+02,6.151461269160843402e-05,8.000000000000000000e+00
1.156213332633039914e+06,5.811866673669601369e+02,4.865416282460794837e-05,8.000000000000000000e+00
1.172707909950530855e+06,5.646920900494691296e+02,3.873936880305740518e-05,8.000000000000000000e+00
1.188734356981903547e+06,5.486656430180964890e+02,3.104515683050431747e-05,8.000000000000000000e+00
1.204305959667170886e+06,5.330940403328290813e+02,2.503595959579155372e-05,8.000000000000000000e+00
1.219435626879945397e+06,5.179643731200545744e+02,2.031356923772367266e-05,8.000000000000000000e+00
1.234135901128907222e+06,5.032640988710927559e+02,1.658000255831952014e-05,8.000000000000000000e+00
1.248418968955556862e+06,4.889810310444431138e+02,1.361087941115125420e-05,8.000000000000000000e+00
1.262296671036868589e+06,4.751033289631313892e+02,1.123621327009997038e-05,8.000000000000000000e+00
1.275780512001223862e+06,4.616194879987761510e+02,9.326462062835317004e-06,8.000000000000000000e+00
1.288881669965759385e+06,4.485183300342405914e+02,7.782336050178155720e-06,8.000000000000000000e+00
1.301611005803036038e+06,4.357889941969639835e+02,6.527305884125005883e-06,8.000000000000000000e+00
1.313979072144714417e+06,4.234209278552855835e+02,5.502063104758939197e-06,8.000000000000000000e+00
1.325996122129694559e+06,4.114038778703054504e+02,4.660400790178899283e-06,8.000000000000000000e+00
1.337672117903979495e+06,3.997278820960204939e+02,3.966133172279955055e-06,8.000000000000000000e+00
1.349016738879303448e+06,3.883832611206965453e+02,3.390779639691197248e-06,8.000000000000000000e+00
1.360039389757372905e+06,3.773606102426271036e+02,2.911814212298954884e-06,8.000000000000000000e+00
1.370749208326374181e+06,3.666507916736258039e+02,2.511335582137697171e-06,8.000000000000000000e+00
1.381155073036208283e+06,3.562449269637917268e+02,2.175051586738774587e-06,8.000000000000000000e+00
1.391265610358735081e+06,3.461343896412649315e+02,1.891499966110347957e-06,8.000000000000000000e+00
1.401089201939124148e+06,3.363107980608758680e+02,1.651447562618253085e-06,8.000000000000000000e+00
1.410633991544250399e+06,3.267660084557496134e+02,1.447424937418878798e-06,8.000000000000000000e+00
1.419907891813883092e+06,3.174921081861169228e+02,1.273364239260475482e-06,8.000000000000000000e+00
1.428918590820270590e+06,3.084814091797293827e+02,1.124316165633723856e-06,8.000000000000000000e+00
1.437673558441561414e+06,2.997264415584385802e+02,9.971696552037081357e-07,5.000000000000000000e+00
1.446180052554339403e+06,2.912199474456605799e+02,9.130444377204677260e-07,5.000000000000000000e+00
1.454445125050410861e+06,2.829548749495891116e+02,8.381101770105959972e-07,5.000000000000000000e+00
1.462475627682829509e+06,2.749243723171704801e+02,7.711978680411316212e-07,5.000000000000000000e+00
1.470278217746006325e+06,2.671217822539936719e+02,7.113053530500084140e-07,5.000000000000000000e+00
1.477859363594613038e+06,2.595406364053869765e+02,6.575711918486283971e-07,5.000000000000000000e+00
1.485225350005853921e+06,2.521746499941460797e+02,6.092529556570337743e-07,5.000000000000000000e+00
1.492382283389553428e+06,2.450177166104465698e+02,5.657091436256856252e-07,5.000000000000000000e+00
1.499336096850374714e+06,2.380639031496252755e+02,5.263840749887527701e-07,5.000000000000000000e+00
1.506092555106368847e+06,2.313074448936311569e+02,4.907952324581940981e-07,5.000000000000000000e+00
1.512657259267932503e+06,2.247427407320674888e+02,4.585226306113652106e-07,5.000000000000000000e+00
1.519035651481134119e+06,2.183643485188658815e+02,4.291998617891029649e-07,5.000000000000000000e+00
1.525233019439256517e+06,2.121669805607434967e+02,4.025065354220655058e-07,5.000000000000000000e+00
1.531254500766301760e+06,2.061454992336982457e+02,3.781618778867589766e-07,5.000000000000000000e+00
1.537105087276085047e+06,2.002949127239149618e+02,3.559193014321368129e-07,5.000000000000000000e+00
1.542789629110454116e+06,1.946103708895458908e+02,3.355617843620746968e-07,5.000000000000000000e+00
1.548312838760059560e+06,1.890871612399404285e+02,3.168979320501236524e-07,5.000000000000000000e+00
1.553679294971016934e+06,1.837207050289830761e+02,2.997586107230069610e-07,5.000000000000000000e+00
1.558893446540690027e+06,1.785065534593099699e+02,2.839940642507755016e-07,5.000000000000000000e+00
1.563959616005748278e+06,1.734403839942517322e+02,2.694714391997279030e-07,5.000000000000000000e+00
1.568882003225553781e+06,1.685179967744462317e+02,2.560726557595341116e-07,5.000000000000000000e+00
1.573664688863849500e+06,1.637353111361505000e+02,2.436925723458246460e-07,5.000000000000000000e+00
1.578311637771632057e+06,1.590883622283679415e+02,2.322374001039040613e-07,5.000000000000000000e+00
1.582826702274018433e+06,1.545732977259815755e+02,2.216233305206640899e-07,5.000000000000000000e+00
1.587213625363826519e+06,1.501863746361734684e+02,2.117753451510144432e-07,5.000000000000000000e+00
1.591476043804520043e+06,1.459239561954799456e+02,2.026261812933609133e-07,5.000000000000000000e+00
1.595617491145088105e+06,1.417825088549118959e+02,1.941154314775630419e-07,5.000000000000000000e+00
1.599641400649362011e+06,1.377585993506379793e+02,1.861887579980983013e-07,5.000000000000000000e+00
1.603551108142193407e+06,1.338488918578065920e+02,1.787972065489750124e-07,5.000000000000000000e+00
1.607349854774856940e+06,1.300501452251430692e+02,1.718966053885786315e-07,5.000000000000000000e+00
1.611040789711966645e+06,1.263592102880333528e+02,1.654470384586924198e-07,5.000000000000000000e+00
1.614626972742137732e+06,1.227730272578622674e+02,1.594123825652913472e-07,5.000000000000000000e+00
1.618111376814553514e+06,1.192886231854464825e+02,1.537599001512360946e-07,5.000000000000000000e+00
1.621496890503543662e+06,1.159031094964563380e+02,1.484598803954342431e-07,5.000000000000000000e+00
1.624786320403214544e+06,1.126136795967854596e+02,1.434853223948221679e-07,5.000000000000000000e+00
1.627982393454118865e+06,1.094176065458811422e+02,1.388116550539885880e-07,5.000000000000000000e+00
1.631087759203891503e+06,1.063122407961084974e+02,1.344164890467804694e-07,5.000000000000000000e+00
1.634104992003727704e+06,1.032950079962722896e+02,1.302793968451152964e-07,5.000000000000000000e+00
1.637036593142522732e+06,1.003634068574772726e+02,1.263817173493816938e-07,5.000000000000000000e+00
1.639884992920441553e+06,9.751500707955844405e+01,1.227063821163951348e-07,5.000000000000000000e+00
1.642652552663641749e+06,9.474744733635824900e+01,1.192377605767334593e-07,5.000000000000000000e+00
1.645341566681813914e+06,9.205843331818608988e+01,1.159615219733474362e-07,5.000000000000000000e+00
1.647954264170166804e+06,8.944573582983319682e+01,1.128645120459580772e-07,5.000000000000000000e+00
1.650492811057433020e+06,8.690718894256697524e+01,1.099346427379659374e-07,5.000000000000000000e+00
1.652959311801425414e+06,8.444068819857459118e+01,1.071607934203357518e-07,5.000000000000000000e+00
1.655355811133634066e+06,8.204418886636592845e+01,1.045327223151791840e-07,5.000000000000000000e+00
1.657684295754312072e+06,7.971570424568793101e+01,1.020409869647872914e-07,5.000000000000000000e+00
1.659946695979451062e+06,7.745330402054894137e+01,9.967687273328285329e-08,5.000000000000000000e+00
1.662144887341014808e+06,7.525511265898519753e+01,9.743232845087197892e-08,5.000000000000000000e+00
1.664280692141757812e+06,7.311930785824219470e+01,9.529990841753565025e-08,5.000000000000000000e+00
1.666355880965915276e+06,7.104411903408472995e+01,9.327272007607062037e-08,5.000000000000000000e+00
1.668372174147019628e+06,6.902782585298037077e+01,9.134437674559661059e-08,5.000000000000000000e+00
1.670331243194058305e+06,6.706875680594168898e+01,8.950895487759441503e-08,5.000000000000000000e+00
1.672234712177157169e+06,6.516528782284282784e+01,8.776095535858689477e-08,5.000000000000000000e+00
1.674084159073935123e+06,6.331584092606487957e+01,8.609526843795656929e-08,5.000000000000000000e+00
1.675881117077649105e+06,6.151888292235089750e+01,8.450714190706894739e-08,5.000000000000000000e+00
1.677627075868214015e+06,5.977292413178598451e+01,8.299215219776570426e-08,5.000000000000000000e+00
1.679323482847147156e+06,5.807651715285284411e+01,8.154617810512488017e-08,5.000000000000000000e+00
1.680971744337467244e+06,5.642825566253275582e+01,8.016537687182311769e-08,5.000000000000000000e+00
1.682573226749535417e+06,5.482677325046458350e+01,7.884616240003655698e-08,5.000000000000000000e+00
1.684129257713813102e+06,5.327074228618689489e+01,7.758518538205679065e-08,5.000000000000000000e+00
1.685641127181467135e+06,5.175887281853286481e+01,7.637931516311828605e-08,5.000000000000000000e+00
1.687110088493741117e+06,5.028991150625888196e+01,7.522562316966996080e-08,5.000000000000000000e+00
1.688537359420976602e+06,4.886264057902339886e+01,7.431144089640629010e-08,5.000000000000000000e+00
1.689924123172146035e+06,4.747587682785396623e+01,7.348043909515540123e-08,5.000000000000000000e+00
1.691271529375733808e+06,4.612847062426619260e+01,7.268192375391881442e-08,5.000000000000000000e+00
1.692580695032779360e+06,4.481930496722063850e+01,7.191438340700263088e-08,5.000000000000000000e+00
1.693852705442872364e+06,4.354729455712763553e+01,7.117639092772008833e-08,5.000000000000000000e+00
1.695088615103866905e+06,4.231138489613309162e+01,7.046659800979047253e-08,5.000000000000000000e+00
1.696289448586061597e+06,4.111055141393840273e+01,6.978373005968090718e-08,5.000000000000000000e+00
1.697456201381568797e+06,3.994379861843120239e+01,6.912658146586160576e-08,5.000000000000000000e+00
1.698589840729578864e+06,3.881015927042113844e+01,6.849401121402394866e-08,5.000000000000000000e+00
1.699691306418202352e+06,3.770869358179764674e+01,6.788493882010538819e-08,5.000000000000000000e+00
1.700761511563555105e+06,3.663848843644489506e+01,6.729834055546725360e-08,5.000000000000000000e+00
1.701801343366732588e+06,3.559865663326741014e+01,6.673324594084530849e-08,5.000000000000000000e+00
1.702811663849300472e+06,3.458833615069952572e+01,6.618873448774733857e-08,5.000000000000000000e+00
1.703793310567911249e+06,3.360668943208874992e+01,6.566393266781981042e-08,5.000000000000000000e+00
1.704747097308639204e+06,3.265290269136079360e+01,6.515801109239630642e-08,5.000000000000000000e+00
1.705673814761610469e+06,3.172618523838952953e+01,6.467018188595721230e-08,5.000000000000000000e+00
1.706574231176485540e+06,3.082576882351445846e+01,6.419969623861778543e-08,5.000000000000000000e+00
1.707449092999338638e+06,2.995090700066136336e+01,6.374584212401012643e-08,5.000000000000000000e+00
1.708299125491462881e+06,2.910087450853712099e+01,6.330794217006980455e-08,5.000000000000000000e+00
1.709125033330612583e+06,2.827496666938741754e+01,6.288535167127133398e-08,5.000000000000000000e+00
1.709927501195181161e+06,2.747249880481883721e+01,6.247745673180305890e-08,5.000000000000000000e+00
1.710707194331800798e+06,2.669280566819920253e+01,6.208367253002331286e-08,5.000000000000000000e+00
1.711464759106831625e+06,2.593524089316837333e+01,6.170344169533284536e-08,5.000000000000000000e+00
1.712200823542201892e+06,2.519917645779811011e+01,6.133623278930060626e-08,5.000000000000000000e+00
1.712915997836036375e+06,2.448400216396362694e+01,6.098153888354143182e-08,5.000000000000000000e+00
1.713610874868513318e+06,2.378912513148668140e+01,6.063887622743263915e-08,5.000000000000000000e+00
1.714286030693361303e+06,2.311396930663869753e+01,6.030778299929898106e-08,5.000000000000000000e+00
1.714942025015408872e+06,2.245797498459112873e+01,5.998781813520009936e-08,5.000000000000000000e+00
1.715579401654580375e+06,2.182059834541962573e+01,5.967856022989848625e-08,5.000000000000000000e+00
1.716198688996723155e+06,2.120131100327684592e+01,5.937960650501360949e-08,5.000000000000000000e+00
1.716800400431639515e+06,2.059959956836048534e+01,5.909057183974013429e-08,5.000000000000000000e+00
1.717385034778688569e+06,2.001496522131143152e+01,5.881108785986236067e-08,5.000000000000000000e+00
1.717953076700306498e+06,1.944692329969350197e+01,5.854080208112089889e-08,5.000000000000000000e+00
1.718504997103792848e+06,1.889500289620715279e+01,5.827937710327566968e-08,5.000000000000000000e+00
1.719041253531693714e+06,1.835874646830628620e+01,5.802648985148493915e-08,5.000000000000000000e+00
1.719562290541103343e+06,1.783770945889665782e+01,5.778183086186788189e-08,5.000000000000000000e+00
1.720068540072204312e+06,1.733145992779568800e+01,5.754510360834739394e-08,5.000000000000000000e+00
1.720560421806345228e+06,1.683957819365477349e+01,5.731602386807890282e-08,5.000000000000000000e+00
1.721038343513956992e+06,1.636165648604300671e+01,5.709431912296873011e-08,5.000000000000000000e+00
1.721502701392595191e+06,1.589729860740481016e+01,5.687972799495842327e-08,5.000000000000000000e+00
1.721953880395387998e+06,1.544611960461200262e+01,5.667199971292445330e-08,5.000000000000000000e+00
1.722392254550162936e+06,1.500774544983706349e+01,5.647089360918569749e-08,5.000000000000000000e+00
1.722818187269516289e+06,1.458181273048371018e+01,5.627617864376070106e-08,5.000000000000000000e+00
1.723232031652082456e+06,1.416796834791754378e+01,5.608763295463826010e-08,5.000000000000000000e+00
1.723634130775252590e+06,1.376586922474741037e+01,5.590504343245009088e-08,5.000000000000000000e+00
1.724024817979587242e+06,1.337518202041275828e+01,5.572820531804343171e-08,5.000000000000000000e+00
1.724404417145154206e+06,1.299558285484579478e+01,5.555692182155254556e-08,5.000000000000000000e+00
1.724773242960027419e+06,1.262675703997258125e+01,5.539100376166589678e-08,5.000000000000000000e+00
1.725131601181162521e+06,1.226839881883747907e+01,5.523026922387151135e-08,5.000000000000000000e+00
1.725479788887869334e+06,1.192021111213066575e+01,5.507454323654353100e-08,5.000000000000000000e+00
1.725818094728092197e+06,1.158190527190780195e+01,5.492365746381250026e-08,5.000000000000000000e+00
1.726146799157697940e+06,1.125320084230206064e+01,5.477744991422600196e-08,5.000000000000000000e+00
1.726466174672975205e+06,1.093382532702479537e+01,5.463576466427755321e-08,5.000000000000000000e+00
1.726776486036533490e+06,1.062351396346651100e+01,5.449845159593619505e-08,5.000000000000000000e+00
1.727077990496791899e+06,1.032200950320810051e+01,5.436536614736987752e-08,5.000000000000000000e+00
1.727370938001238042e+06,1.002906199876195714e+01,5.423636907610297736e-08,5.000000000000000000e+00
1.727655571403635200e+06,9.744428596364800299e+00,5.411132623390383907e-08,5.000000000000000000e+00
1.727932126665347721e+06,9.467873334652278317e+00,5.399010835273343456e-08,5.000000000000000000e+00
1.728200833050953923e+06,9.199166949046077235e+00,5.387259084113697298e-08,5.000000000000000000e+00
1.728461913318305742e+06,8.938086681694258573e+00,5.375865359049531815e-08,5.000000000000000000e+00
1.728715583903196501e+06,8.684416096803499130e+00,5.364818079058878543e-08,5.000000000000000000e+00
1.728962055098784855e+06,8.437944901215145066e+00,5.354106075395999630e-08,5.000000000000000000e+00
1.729201531229929533e+06,8.198468770070467926e+00,5.343718574859863972e-08,5.000000000000000000e+00
1.729434210822573397e+06,7.965789177426602308e+00,5.333645183849019327e-08,5.000000000000000000e+00
1.729660286768322578e+06,7.739713231677422201e+00,5.323875873161129472e-08,5.000000000000000000e+00
1.729879946484354092e+06,7.520053515645908071e+00,5.314400963496642569e-08,5.000000000000000000e+00
1.730093372068783734e+06,7.306627931216265637e+00,5.305211111629831502e-08,5.000000000000000000e+00
1.730300740451626480e+06,7.099259548373520801e+00,5.296297297211158961e-08,5.000000000000000000e+00
1.730502223541470943e+06,6.897776458529056853e+00,5.287650810168686741e-08,5.000000000000000000e+00
1.730697988367992919e+06,6.702011632007081054e+00,5.279263238676561670e-08,5.000000000000000000e+00
1.730888197220421862e+06,6.511802779578138356e+00,5.271126457661747975e-08,5.000000000000000000e+00
1.731073007782079512e+06,6.326992217920487604e+00,5.263232617821082436e-08,5.000000000000000000e+00
1.731252573261099169e+06,6.147426738900830578e+00,5.255574135122692757e-08,5.000000000000000000e+00
1.731427042517436203e+06,5.972957482563796994e+00,5.248143680767109980e-08,5.000000000000000000e+00
1.731596560186271556e+06,5.803439813728444641e+00,5.240934171585135577e-08,5.000000000000000000e+00
1.731761266797916032e+06,5.638733202083967555e+00,5.233938760850249770e-08,5.000000000000000000e+00
1.731921298894309206e+06,5.478701105690793938e+00,5.227150829485420230e-08,5.000000000000000000e+00
1.732076789142212830e+06,5.323210857787169736e+00,5.220563977644465438e-08,5.000000000000000000e+00
1.732227866443192353e+06,5.172133556807646748e+00,5.214172016649722456e-08,5.000000000000000000e+00
1.732374656040475471e+06,5.025343959524528614e+00,5.207968961268789922e-08,5.000000000000000000e+00
1.732517279622779926e+06,4.882720377220073793e+00,5.201949022313759655e-08,5.000000000000000000e+00
1.732655855425192276e+06,4.744144574807723558e+00,5.196106599547561230e-08,5.000000000000000000e+00
1.732790498327186331e+06,4.609501672813668627e+00,5.190436274882740043e-08,5.000000000000000000e+00
1.732921319947857177e+06,4.478680052142823165e+00,5.184932805858717977e-08,5.000000000000000000e+00
1.733048428738454590e+06,4.351571261545410074e+00,5.179591119384573079e-08,5.000000000000000000e+00
1.733171930072288262e+06,4.228069927711738174e+00,5.174406305734772402e-08,5.000000000000000000e+00
1.733291926332082599e+06,4.108073667917400584e+00,5.169373612786176885e-08,5.000000000000000000e+00
1.733408516994852806e+06,3.991483005147194341e+00,5.164488440485231404e-08,5.000000000000000000e+00
1.733521798714370001e+06,3.878201285629998996e+00,5.159746335534556871e-08,5.000000000000000000e+00
1.733631865401288960e+06,3.768134598711039729e+00,5.155142986289288211e-08,5.000000000000000000e+00
1.733738808300999226e+06,3.661191699000773792e+00,5.150674217853314750e-08,5.000000000000000000e+00
1.733842716069267597e+06,3.557283930732403121e+00,5.146335987366770731e-08,5.000000000000000000e+00
1.733943674845733447e+06,3.456325154266552957e+00,5.142124379475915831e-08,5.000000000000000000e+00
1.734041768325320212e+06,3.358231674679788004e+00,5.138035601977543519e-08,5.000000000000000000e+00
1.734137077827616595e+06,3.262922172383405428e+00,5.134065981630040497e-08,5.000000000000000000e+00
