r_m,depth_km,sigma_S_m,eps_r
1.026443200218607089e+06,7.109567997813928741e+02,4.403796065656097498e-03,8.000000000000000000e+00
1.046620765468888101e+06,6.907792345311119107e+02,3.656932449143634502e-03,8.000000000000000000e+00
1.066225674068927299e+06,6.711743259310726444e+02,3.052792624133120539e-03,8.000000000000000000e+00
1.085274178506822558e+06,6.521258214931774546e+02,2.561552645315653270e-03,8.000000000000000000e+00
1.103782070011084899e+06,6.336179299889150798e+02,2.160089371204966524e-03,8.000000000000000000e+00
1.121764691641584039e+06,6.156353083584159549e+02,1.830379880714881700e-03,8.000000000000000000e+00
1.139236951008959673e+06,5.981630489910403412e+02,1.558304037701112570e-03,8.000000000000000000e+00
1.156213332633039914e+06,5.811866673669601369e+02,1.332743795792072595e-03,8.000000000000000000e+00
1.172707909950530855e+06,5.646920900494691296e+02,1.144902121711991339e-03,8.000000000000000000e+00
1.188734356981903547e+06,5.486656430180964890e+02,9.877853301869766404e-04,8.000000000000000000e+00
1.204305959667170886e+06,5.330940403328290813e+02,8.558076441680038645e-04,8.000000000000000000e+00
1.219435626879945397e+06,5.179643731200545744e+02,7.444876408547440030e-04,8.000000000000000000e+00
1.234135901128907222e+06,5.032640988710927559e+02,6.502141186767580695e-04,8.000000000000000000e+00
1.248418968955556862e+06,4.889810310444431138e+02,5.700646672757323993e-04,8.000000000000000000e+00
1.262296671036868589e+06,4.751033289631313892e+02,5.016644380123241919e-04,8.000000000000000000e+00
1.275780512001223862e+06,4.616194879987761510e+02,4.430757201127201277e-04,8.000000000000000000e+00
1.288881669965759385e+06,4.485183300342405914e+02,3.927112296122204737e-04,8.000000000000000000e+00
1.301611005803036038e+06,4.357889941969639835e+02,3.492657316825949622e-04,8.000000000000000000e+00
1.313979072144714417e+06,4.234209278552855835e+02,3.116618981843871867e-04,8.000000000000000000e+00
1.325996122129694559e+06,4.114038778703054504e+02,2.790072647273544653e-04,8.000000000000000000e+00
1.337672117903979495e+06,3.997278820960204939e+02,2.505598776932532246e-04,8.000000000000000000e+00
1.349016738879303448e+06,3.883832611206965453e+02,2.257007719565901874e-04,8.000000000000000000e+00
1.360039389757372905e+06,3.773606102426271036e+02,2.039118388033827158e-04,8.000000000000000000e+00
1.370749208326374181e+06,3.666507916736258039e+02,1.847579635498204642e-04,8.000000000000000000e+00
1.381155073036208283e+06,3.562449269637917268e+02,1.678725578861081950e-04,8.000000000000000000e+00
1.391265610358735081e+06,3.461343896412649315e+02,1.529458010969068893e-04,8.000000000000000000e+00
1.401089201939124148e+06,3.363107980608758680e+02,1.397150505581143626e-04,8.000000000000000000e+00
1.410633991544250399e+06,3.267660084557496134e+02,1.279569954299855433e-04,8.000000000000000000e+00
1.419907891813883092e+06,3.174921081861169228e+02,1.174812159096355434e-04,8.000000000000000000e+00
1.428918590820270590e+06,3.084814091797293827e+02,1.081248795612902938e-04,8.000000000000000000e+00
1.437673558441561414e+06,2.997264415584385802e+02,9.979262604290884775e-05,7.000000000000000000e+00
1.446180052554339403e+06,2.912199474456605799e+02,9.355438578211479610e-05,7.000000000000000000e+00
1.454445125050410861e+06,2.829548749495891116e+02,8.786693751747210422e-05,7.000000000000000000e+00
1.462475627682829509e+06,2.749243723171704801e+02,8.267227420699804730e-05,7.000000000000000000e+00
1.470278217746006325e+06,2.671217822539936719e+02,7.791936346167613141e-05,7.000000000000000000e+00
