r_m,depth_km,sigma_S_m,eps_r
1.737399999999906868e+03,1.735662600000000111e+03,5.999999999999999778e-02,6.000000000000000000e+00
5.215681763526983559e+03,1.732184318236473018e+03,5.999999999999999778e-02,6.000000000000000000e+00
8.693963527053827420e+03,1.728706036472946153e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.217224529058090411e+04,1.725227754709419060e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.565052705410798080e+04,1.721749472945891966e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.912880881763505749e+04,1.718271191182364873e+03,5.999999999999999778e-02,6.000000000000000000e+00
2.260709058116213419e+04,1.714792909418837780e+03,5.999999999999999778e-02,6.000000000000000000e+00
2.608537234468921088e+04,1.711314627655310687e+03,5.999999999999999778e-02,6.000000000000000000e+00
2.956365410821628757e+04,1.707836345891783822e+03,5.999999999999999778e-02,6.000000000000000000e+00
3.304193587174336426e+04,1.704358064128256729e+03,5.999999999999999778e-02,6.000000000000000000e+00
3.652021763527044095e+04,1.700879782364729635e+03,5.999999999999999778e-02,6.000000000000000000e+00
3.999849939879751764e+04,1.697401500601202542e+03,5.999999999999999778e-02,6.000000000000000000e+00
4.347678116232459433e+04,1.693923218837675449e+03,5.999999999999999778e-02,6.000000000000000000e+00
4.695506292585167103e+04,1.690444937074148356e+03,5.999999999999999778e-02,6.000000000000000000e+00
5.043334468937851489e+04,1.686966655310621491e+03,5.999999999999999778e-02,6.000000000000000000e+00
5.391162645290559158e+04,1.683488373547094398e+03,5.999999999999999778e-02,6.000000000000000000e+00
5.738990821643266827e+04,1.680010091783567304e+03,5.999999999999999778e-02,6.000000000000000000e+00
6.086818997995974496e+04,1.676531810020040211e+03,5.999999999999999778e-02,6.000000000000000000e+00
6.434647174348682165e+04,1.673053528256513118e+03,5.999999999999999778e-02,6.000000000000000000e+00
6.782475350701389834e+04,1.669575246492986025e+03,5.999999999999999778e-02,6.000000000000000000e+00
7.130303527054074220e+04,1.666096964729459160e+03,5.999999999999999778e-02,6.000000000000000000e+00
7.478131703406781889e+04,1.662618682965932294e+03,5.999999999999999778e-02,6.000000000000000000e+00
7.825959879759512842e+04,1.659140401202404973e+03,5.999999999999999778e-02,6.000000000000000000e+00
8.173788056112220511e+04,1.655662119438877880e+03,5.999999999999999778e-02,6.000000000000000000e+00
8.521616232464928180e+04,1.652183837675350787e+03,5.999999999999999778e-02,6.000000000000000000e+00
8.869444408817635849e+04,1.648705555911823694e+03,5.999999999999999778e-02,6.000000000000000000e+00
9.217272585170320235e+04,1.645227274148296829e+03,5.999999999999999778e-02,6.000000000000000000e+00
9.565100761523027904e+04,1.641748992384769736e+03,5.999999999999999778e-02,6.000000000000000000e+00
9.912928937875735573e+04,1.638270710621242642e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.026075711422844324e+05,1.634792428857715549e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.060858529058115091e+05,1.631314147094188456e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.095641346693385858e+05,1.627835865330661363e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.130424164328654297e+05,1.624357583567134498e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.165206981963925064e+05,1.620879301803607405e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.199989799599195831e+05,1.617401020040080311e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.234772617234468926e+05,1.613922738276553218e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.269555434869739693e+05,1.610444456513026125e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.304338252505010460e+05,1.606966174749499032e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.339121070140278898e+05,1.603487892985972167e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.373903887775549665e+05,1.600009611222445074e+03,5.999999999999999778e-02,6.000000000000000000e+00
1.408686705410820432e+05,1.596531329458917980e+03,5.993898410973457630e-02,6.000000000000000000e+00
1.443469523046091199e+05,1.593053047695390887e+03,5.987786145964753282e-02,6.000000000000000000e+00
1.478252340681361966e+05,1.589574765931863794e+03,5.981680113925141179e-02,6.000000000000000000e+00
1.513035158316630404e+05,1.586096484168336929e+03,5.975580308498563975e-02,6.000000000000000000e+00
1.547817975951901171e+05,1.582618202404809836e+03,5.969486723335446637e-02,6.000000000000000000e+00
1.582600793587171938e+05,1.579139920641282743e+03,5.963399352092689509e-02,6.000000000000000000e+00
1.617383611222442705e+05,1.575661638877755649e+03,5.957318188433659983e-02,6.000000000000000000e+00
1.652166428857713472e+05,1.572183357114228556e+03,5.951243226028189032e-02,6.000000000000000000e+00
1.686949246492984239e+05,1.568705075350701463e+03,5.945174458552559410e-02,6.000000000000000000e+00
1.721732064128255006e+05,1.565226793587174598e+03,5.939111879689506351e-02,6.000000000000000000e+00
1.756514881763525773e+05,1.561748511823647505e+03,5.933055483128205770e-02,6.000000000000000000e+00
1.791297699398796540e+05,1.558270230060120412e+03,5.927005262564268712e-02,6.000000000000000000e+00
1.826080517034067307e+05,1.554791948296593318e+03,5.920961211699733717e-02,6.000000000000000000e+00
1.860863334669338074e+05,1.551313666533066225e+03,5.914923324243064051e-02,6.000000000000000000e+00
1.895646152304608840e+05,1.547835384769539132e+03,5.908891593909137291e-02,6.000000000000000000e+00
1.930428969939877279e+05,1.544357103006012267e+03,5.902866014419242552e-02,6.000000000000000000e+00
1.965211787575148046e+05,1.540878821242485174e+03,5.896846579501068691e-02,6.000000000000000000e+00
1.999994605210418813e+05,1.537400539478958081e+03,5.890833282888700145e-02,6.000000000000000000e+00
2.034777422845689580e+05,1.533922257715430987e+03,5.884826118322614846e-02,6.000000000000000000e+00
2.069560240480960347e+05,1.530443975951903894e+03,5.878825079549673122e-02,6.000000000000000000e+00
2.104343058116231114e+05,1.526965694188376801e+03,5.872830160323107285e-02,6.000000000000000000e+00
2.139125875751499552e+05,1.523487412424849936e+03,5.866841354402525799e-02,6.000000000000000000e+00
2.173908693386772648e+05,1.520009130661322843e+03,5.860858655553895930e-02,6.000000000000000000e+00
2.208691511022043414e+05,1.516530848897795750e+03,5.854882057549544438e-02,6.000000000000000000e+00
2.243474328657314181e+05,1.513052567134268656e+03,5.848911554168151339e-02,6.000000000000000000e+00
2.278257146292584948e+05,1.509574285370741563e+03,5.842947139194734629e-02,6.000000000000000000e+00
2.313039963927855715e+05,1.506096003607214470e+03,5.836988806420653764e-02,6.000000000000000000e+00
2.347822781563124154e+05,1.502617721843687605e+03,5.831036549643600631e-02,6.000000000000000000e+00
2.382605599198394921e+05,1.499139440080160512e+03,5.825090362667589838e-02,6.000000000000000000e+00
2.417388416833665688e+05,1.495661158316633419e+03,5.819150239302954553e-02,6.000000000000000000e+00
2.452171234468936455e+05,1.492182876553106325e+03,5.813216173366339556e-02,6.000000000000000000e+00
2.486954052104207221e+05,1.488704594789579232e+03,5.807288158680697782e-02,6.000000000000000000e+00
2.521736869739477988e+05,1.485226313026052139e+03,5.801366189075276431e-02,6.000000000000000000e+00
2.556519687374746427e+05,1.481748031262525274e+03,5.795450258385620446e-02,6.000000000000000000e+00
2.591302505010017194e+05,1.478269749498998181e+03,5.789540360453555162e-02,6.000000000000000000e+00
2.626085322645287961e+05,1.474791467735471315e+03,5.783636489127191166e-02,6.000000000000000000e+00
2.660868140280561056e+05,1.471313185971943994e+03,5.777738638260911108e-02,6.000000000000000000e+00
2.695650957915831823e+05,1.467834904208416901e+03,5.771846801715362074e-02,6.000000000000000000e+00
2.730433775551102590e+05,1.464356622444889808e+03,5.765960973357454888e-02,6.000000000000000000e+00
2.765216593186371028e+05,1.460878340681362943e+03,5.760081147060350931e-02,6.000000000000000000e+00
2.799999410821641795e+05,1.457400058917835850e+03,5.754207316703464220e-02,6.000000000000000000e+00
2.834782228456912562e+05,1.453921777154308757e+03,5.748339476172444756e-02,6.000000000000000000e+00
2.869565046092183329e+05,1.450443495390781663e+03,5.742477619359183383e-02,6.000000000000000000e+00
2.904347863727454096e+05,1.446965213627254570e+03,5.736621740161795824e-02,6.000000000000000000e+00
2.939130681362724863e+05,1.443486931863727477e+03,5.730771832484619910e-02,6.000000000000000000e+00
2.973913498997993302e+05,1.440008650100200612e+03,5.724927890238212802e-02,6.000000000000000000e+00
3.008696316633264069e+05,1.436530368336673519e+03,5.719089907339337808e-02,6.000000000000000000e+00
3.043479134268534835e+05,1.433052086573146426e+03,5.713257877710962995e-02,6.000000000000000000e+00
3.078261951903805602e+05,1.429573804809619332e+03,5.707431795282254250e-02,6.000000000000000000e+00
3.113044769539078698e+05,1.426095523046092239e+03,5.701611653988566952e-02,6.000000000000000000e+00
3.147827587174347136e+05,1.422617241282565374e+03,5.695797447771443200e-02,6.000000000000000000e+00
3.182610404809617903e+05,1.419138959519038281e+03,5.689989170578599320e-02,6.000000000000000000e+00
3.217393222444888670e+05,1.415660677755511188e+03,5.684186816363926559e-02,6.000000000000000000e+00
3.252176040080159437e+05,1.412182395991984095e+03,5.678390379087478596e-02,6.000000000000000000e+00
3.286958857715430204e+05,1.408704114228457001e+03,5.672599852715475011e-02,6.000000000000000000e+00
3.321741675350700971e+05,1.405225832464929908e+03,5.666815231220278387e-02,6.000000000000000000e+00
3.356524492985969409e+05,1.401747550701403043e+03,5.661036508580408189e-02,6.000000000000000000e+00
3.391307310621240176e+05,1.398269268937875950e+03,5.655263678780515779e-02,6.000000000000000000e+00
3.426090128256510943e+05,1.394790987174348857e+03,5.649496735811391362e-02,6.000000000000000000e+00
3.460872945891781710e+05,1.391312705410821764e+03,5.643735673669952879e-02,6.000000000000000000e+00
3.495655763527052477e+05,1.387834423647294670e+03,5.637980486359237681e-02,6.000000000000000000e+00
3.530438581162323244e+05,1.384356141883767577e+03,5.632231167888401141e-02,6.000000000000000000e+00
3.565221398797594011e+05,1.380877860120240712e+03,5.626487712272704861e-02,6.000000000000000000e+00
3.600004216432864778e+05,1.377399578356713619e+03,5.620750113533515974e-02,6.000000000000000000e+00
3.634787034068135545e+05,1.373921296593186526e+03,5.615018365698296737e-02,6.000000000000000000e+00
3.669569851703406312e+05,1.370443014829659433e+03,5.609292462800599677e-02,6.000000000000000000e+00
3.704352669338677078e+05,1.366964733066132339e+03,5.603572398880064809e-02,6.000000000000000000e+00
3.739135486973947845e+05,1.363486451302605246e+03,5.597858167982405764e-02,6.000000000000000000e+00
3.773918304609216284e+05,1.360008169539078381e+03,5.592149764159409786e-02,6.000000000000000000e+00
3.808701122244487051e+05,1.356529887775551288e+03,5.586447181468930795e-02,6.000000000000000000e+00
3.843483939879757818e+05,1.353051606012024195e+03,5.580750413974881058e-02,6.000000000000000000e+00
3.878266757515028585e+05,1.349573324248497102e+03,5.575059455747228415e-02,6.000000000000000000e+00
3.913049575150299352e+05,1.346095042484970008e+03,5.569374300861981708e-02,6.000000000000000000e+00
3.947832392785570119e+05,1.342616760721442915e+03,5.563694943401199799e-02,6.000000000000000000e+00
3.982615210420838557e+05,1.339138478957916050e+03,5.558021377452968675e-02,6.000000000000000000e+00
4.017398028056109324e+05,1.335660197194388957e+03,5.552353597111406303e-02,6.000000000000000000e+00
4.052180845691382419e+05,1.332181915430861864e+03,5.546691596476653607e-02,6.000000000000000000e+00
4.086963663326653186e+05,1.328703633667334771e+03,5.541035369654865456e-02,6.000000000000000000e+00
4.121746480961923953e+05,1.325225351903807677e+03,5.535384910758210653e-02,6.000000000000000000e+00
4.156529298597194720e+05,1.321747070140280584e+03,5.529740213904857371e-02,6.000000000000000000e+00
4.191312116232463159e+05,1.318268788376753719e+03,5.524101273218976621e-02,6.000000000000000000e+00
4.226094933867733926e+05,1.314790506613226626e+03,5.518468082830726984e-02,6.000000000000000000e+00
4.260877751503004692e+05,1.311312224849699533e+03,5.512840636876258082e-02,6.000000000000000000e+00
4.295660569138275459e+05,1.307833943086172440e+03,5.507218929497691151e-02,6.000000000000000000e+00
4.330443386773546226e+05,1.304355661322645346e+03,5.501602954843130833e-02,6.000000000000000000e+00
4.365226204408816993e+05,1.300877379559118253e+03,5.495992707066639504e-02,6.000000000000000000e+00
4.400009022044085432e+05,1.297399097795591388e+03,5.490388180328249768e-02,6.000000000000000000e+00
4.434791839679356199e+05,1.293920816032064295e+03,5.484789368793942937e-02,6.000000000000000000e+00
4.469574657314626966e+05,1.290442534268537202e+03,5.479196266635651125e-02,6.000000000000000000e+00
4.504357474949900061e+05,1.286964252505009881e+03,5.473608868031253072e-02,6.000000000000000000e+00
4.539140292585170828e+05,1.283485970741483015e+03,5.468027167164560276e-02,6.000000000000000000e+00
4.573923110220441595e+05,1.280007688977955922e+03,5.462451158225316294e-02,6.000000000000000000e+00
4.608705927855710033e+05,1.276529407214429057e+03,5.456880835409192582e-02,6.000000000000000000e+00
4.643488745490980800e+05,1.273051125450901964e+03,5.451316192917775305e-02,6.000000000000000000e+00
4.678271563126251567e+05,1.269572843687374871e+03,5.445757224958565346e-02,6.000000000000000000e+00
4.713054380761522334e+05,1.266094561923847778e+03,5.440203925744972746e-02,6.000000000000000000e+00
4.747837198396793101e+05,1.262616280160320684e+03,5.434656289496305609e-02,6.000000000000000000e+00
4.782620016032063868e+05,1.259137998396793591e+03,5.429114310437767321e-02,6.000000000000000000e+00
4.817402833667332307e+05,1.255659716633266726e+03,5.423577982800450309e-02,6.000000000000000000e+00
4.852185651302603073e+05,1.252181434869739633e+03,5.418047300821329793e-02,6.000000000000000000e+00
4.886968468937873840e+05,1.248703153106212540e+03,5.412522258743257542e-02,6.000000000000000000e+00
4.921751286573144607e+05,1.245224871342685447e+03,5.407002850814957712e-02,6.000000000000000000e+00
4.956534104208415374e+05,1.241746589579158353e+03,5.401489071291017824e-02,6.000000000000000000e+00
4.991316921843686141e+05,1.238268307815631488e+03,5.395980914431885989e-02,6.000000000000000000e+00
5.026099739478956908e+05,1.234790026052104395e+03,5.390478374503859110e-02,6.000000000000000000e+00
5.060882557114227675e+05,1.231311744288577302e+03,5.384981445779084969e-02,6.000000000000000000e+00
5.095665374749498442e+05,1.227833462525050209e+03,5.379490122535550423e-02,6.000000000000000000e+00
5.130448192384769209e+05,1.224355180761523116e+03,5.374004399057080716e-02,6.000000000000000000e+00
5.165231010020039976e+05,1.220876898997996022e+03,5.368524269633324214e-02,6.000000000000000000e+00
5.200013827655308414e+05,1.217398617234469157e+03,5.363049728559758644e-02,6.000000000000000000e+00
5.234796645290579181e+05,1.213920335470942064e+03,5.357580770137672366e-02,6.000000000000000000e+00
5.269579462925849948e+05,1.210442053707414971e+03,5.352117388674171305e-02,6.000000000000000000e+00
5.304362280561120715e+05,1.206963771943887878e+03,5.346659578482163694e-02,6.000000000000000000e+00
5.339145098196391482e+05,1.203485490180360785e+03,5.341207333880356595e-02,6.000000000000000000e+00
5.373927915831662249e+05,1.200007208416833691e+03,5.335760649193251048e-02,6.000000000000000000e+00
5.408710733466930687e+05,1.196528926653306826e+03,5.248280067031430712e-02,6.000000000000000000e+00
5.443493551102203783e+05,1.193050644889779733e+03,5.162067461894780801e-02,6.000000000000000000e+00
5.478276368737474550e+05,1.189572363126252640e+03,5.077271056577793706e-02,6.000000000000000000e+00
5.513059186372745316e+05,1.186094081362725547e+03,4.993867587406593256e-02,6.000000000000000000e+00
5.547842004008016083e+05,1.182615799599198454e+03,4.911834172855737701e-02,6.000000000000000000e+00
5.582624821643286850e+05,1.179137517835671360e+03,4.831148307270703018e-02,6.000000000000000000e+00
5.617407639278555289e+05,1.175659236072144495e+03,4.751787854693546864e-02,6.000000000000000000e+00
5.652190456913826056e+05,1.172180954308617402e+03,4.673731042789920631e-02,6.000000000000000000e+00
5.686973274549096823e+05,1.168702672545090309e+03,4.596956456875941205e-02,6.000000000000000000e+00
5.721756092184367590e+05,1.165224390781563216e+03,4.521443034043080150e-02,6.000000000000000000e+00
5.756538909819638357e+05,1.161746109018036123e+03,4.447170057379645769e-02,6.000000000000000000e+00
5.791321727454909123e+05,1.158267827254509029e+03,4.374117150287119143e-02,6.000000000000000000e+00
5.826104545090177562e+05,1.154789545490982164e+03,4.302264270889923775e-02,6.000000000000000000e+00
5.860887362725448329e+05,1.151311263727455071e+03,4.231591706536941971e-02,6.000000000000000000e+00
5.895670180360719096e+05,1.147832981963927978e+03,4.162080068393453347e-02,6.000000000000000000e+00
5.930452997995992191e+05,1.144354700200400885e+03,4.093710286121813452e-02,6.000000000000000000e+00
5.965235815631262958e+05,1.140876418436873792e+03,4.026463602649590218e-02,6.000000000000000000e+00
