r_m,depth_km,sigma_S_m,eps_r
6.329381725207762793e+06,4.161827479223720871e+01,2.245505713150228611e-03,1.000000000000000000e+01
6.331506194826462306e+06,3.949380517353769449e+01,2.126713296619730208e-03,1.000000000000000000e+01
6.333522217586580664e+06,3.747778241341933381e+01,2.019801514373548851e-03,1.000000000000000000e+01
6.335435329326819628e+06,3.556467067318037323e+01,1.923321544034864005e-03,1.000000000000000000e+01
6.337250783300378360e+06,3.374921669962164117e+01,1.836031743592151082e-03,1.000000000000000000e+01
6.338973564599967562e+06,3.202643540003244027e+01,1.756864110587358840e-03,1.000000000000000000e+01
6.340608403846482746e+06,3.039159615351725208e+01,1.684896742302267577e-03,1.000000000000000000e+01
6.342159790178911760e+06,2.884020982108824072e+01,1.619331129437450454e-03,1.000000000000000000e+01
6.343631983581152745e+06,2.736801641884725456e+01,1.559473359895490602e-03,1.000000000000000000e+01
6.345029026579598896e+06,2.597097342040110490e+01,1.504718499028883261e-03,1.000000000000000000e+01
6.346354755343589000e+06,2.464524465641099837e+01,1.454537560900219387e-03,1.000000000000000000e+01
6.347612810219225474e+06,2.338718978077452704e+01,1.408466601358632523e-03,1.000000000000000000e+01
6.348806645725479349e+06,2.219335427452065090e+01,1.366097555352410904e-03,1.000000000000000000e+01
6.349939540040023625e+06,2.106045995997637377e+01,1.327070513404256897e-03,1.000000000000000000e+01
6.351014604000846855e+06,1.998539599915314469e+01,1.291067189799107546e-03,1.000000000000000000e+01
6.352034789648374543e+06,1.896521035162545843e+01,1.257805381016239253e-03,1.000000000000000000e+01
6.353002898331528530e+06,1.799710166847146908e+01,1.227034249775229690e-03,1.000000000000000000e+01
6.353921588400018401e+06,1.707841159998159952e+01,1.198530299686625510e-03,1.000000000000000000e+01
6.354793382503952831e+06,1.620661749604716917e+01,1.172093929411384579e-03,1.000000000000000000e+01
6.355620674520839937e+06,1.537932547916006243e+01,1.147546474601168201e-03,1.000000000000000000e+01
6.356405736128984019e+06,1.459426387101598088e+01,1.124727661639058057e-03,1.000000000000000000e+01
6.357150723045333289e+06,1.384927695466671160e+01,1.103493410043994514e-03,1.000000000000000000e+01
6.357857680944910273e+06,1.314231905508972709e+01,1.083713930914177379e-03,1.000000000000000000e+01
6.358528551078070886e+06,1.247144892192911314e+01,1.065272077415724793e-03,1.000000000000000000e+01
6.359165175601026043e+06,1.183482439897395722e+01,1.048061910430912172e-03,1.000000000000000000e+01
6.359769302634253167e+06,1.123069736574683297e+01,1.031987448353538376e-03,1.000000000000000000e+01
